CUNI-EdUKate	CUNI-MH-v3	Cohere CAT+	Command A+	DeepSeek V4 Pro	Dubformer	GLM 4 - 9B	GPT 5.5	GPT OSS 120B	GPT OSS 20B	Gemini 3.1 Pro	Gemma 4 - 31B	Gemma 4 - 4B	GoogleTranslate	Ministral 3 - 14B	Mistral Medium 3.5	Qingqiu-MT-9B	Qwen 3.5 - 9b	Qwen 3.6 - 27b	SalamandraTA	TRIVE	Tiny Aya Global	Tower 9B	UvA-MT
25.89	20.7	22.46	22.88	25.92	29.77	16.14	29.74	22.9	19.31	29.27	35.95	23.65	8.75	19.92	29.3	29.52	7.95	33.83	8.82	29.27	9.4	27.07	29.2
21.78	12.56	28.07	27.23	17.89	25.56	17.42	27.16	24.6	4.23	22.52	19.22	27.68	7.71	12.34	19.94	23.6	16.93	13.53	21.62	19.52	12.04	9.96	20.26
6.59	15.82	8.23	5.73	8.45	8.77	5.33	46.96	18.95	5.98	47.97	8.23	15.07	6.26	5.81	8.23	15.99	15.36	17.69	7.22	51.74	5.11	28.79	51.74
66.81	65.06	73.04	80.42	42.64	100.0	60.75	100.0	80.42	66.12	100.0	74.03	73.04	3.04	64.95	100.0	58.68	73.04	66.12	77.22	100.0	77.65	66.12	56.33
8.67	24.65	32.37	18.0	26.18	22.94	7.34	22.94	5.14	4.94	67.0	12.96	6.56	10.31	8.65	45.61	10.87	40.48	26.18	32.39	58.15	14.34	21.27	68.92
37.63	57.31	44.22	30.63	61.54	45.73	29.93	53.75	48.34	9.01	75.75	18.85	11.58	21.69	24.09	36.42	45.73	15.24	45.73	26.61	41.31	27.56	7.04	45.73
19.7	19.7	14.4	30.95	35.81	72.17	18.97	100.0	52.16	21.28	78.85	64.86	10.69	7.94	16.7	20.77	18.63	6.88	16.81	30.95	100.0	4.97	13.28	23.03
36.41	25.97	61.48	62.81	44.35	71.01	22.37	81.36	37.38	42.06	60.11	42.73	29.1	62.85	34.03	43.29	22.6	25.39	35.74	60.66	60.11	46.13	39.73	44.35
10.66	9.62	35.32	18.58	16.04	31.59	17.31	30.03	14.41	8.09	41.86	17.33	6.16	25.38	22.24	12.87	20.9	24.2	16.15	21.3	49.0	20.04	38.88	58.57
29.42	25.4	67.61	24.05	100.0	52.66	9.67	100.0	35.72	37.84	100.0	34.79	34.79	27.63	44.82	100.0	27.82	34.79	29.66	20.15	100.0	39.8	67.03	76.77
9.89	21.51	38.75	16.83	43.21	33.14	10.63	31.91	16.2	17.73	37.46	31.46	28.2	28.1	37.11	21.08	25.59	21.07	23.17	20.08	39.57	9.72	23.2	36.05
13.91	22.23	20.69	31.53	76.12	22.23	12.45	76.12	22.23	13.38	76.12	17.05	31.53	4.1	5.11	76.12	16.9	5.11	13.32	22.23	16.45	13.38	26.52	22.23
11.2	12.09	11.25	12.45	11.64	12.45	6.3	34.46	13.46	11.98	19.56	12.45	12.45	8.51	9.63	12.45	13.46	12.45	12.09	12.45	11.25	8.48	11.63	12.09
59.38	54.03	51.91	36.52	45.53	68.39	43.53	47.83	47.73	40.59	70.29	51.91	29.99	37.01	49.18	38.53	49.79	38.69	28.2	36.2	58.23	39.61	40.41	36.1
62.64	62.64	83.81	66.58	86.76	90.96	47.61	68.02	44.13	36.82	66.58	64.7	54.65	3.79	26.77	77.61	66.58	71.26	46.99	65.77	82.61	64.7	68.84	68.84
7.83	11.86	21.45	12.09	12.35	20.99	11.67	20.36	16.74	5.11	12.09	13.26	7.73	11.22	7.65	11.88	11.67	10.44	25.13	14.36	11.21	5.38	14.97	31.83
6.42	9.1	7.16	6.42	7.16	7.16	7.31	5.75	6.8	6.42	9.15	6.84	8.23	5.82	6.34	7.16	8.23	8.51	7.86	6.61	7.16	7.16	7.16	8.23
21.59	34.82	19.0	40.78	45.73	42.46	19.48	32.78	24.32	45.18	29.2	27.73	30.05	13.0	20.98	48.05	16.21	7.18	4.32	3.85	28.23	6.47	28.82	32.51
21.16	44.3	59.85	19.69	58.06	76.18	30.6	57.36	49.6	20.61	70.77	41.25	43.59	16.71	17.64	59.67	56.6	26.68	58.06	28.8	63.34	25.35	22.97	57.36
21.59	32.32	34.19	21.07	43.62	48.26	13.82	52.98	44.44	28.31	37.32	33.28	25.2	12.28	15.08	21.16	42.17	28.32	30.6	34.43	49.2	33.62	30.86	45.37
22.8	13.89	34.27	35.85	52.35	51.23	21.29	60.77	34.79	33.52	60.77	32.68	20.36	43.94	35.16	30.07	48.21	11.4	38.23	33.66	46.6	31.8	36.45	52.31
12.99	30.83	37.96	22.55	55.38	27.2	4.94	31.25	8.69	5.36	49.81	7.41	4.94	45.66	4.27	25.68	5.52	3.25	6.88	28.5	7.17	16.78	21.51	7.17
40.73	65.15	65.15	44.02	65.15	42.64	14.74	65.15	65.15	57.48	65.15	50.39	50.7	65.15	37.52	65.15	50.7	65.15	65.15	71.66	65.15	65.15	65.15	65.15
10.8	7.74	25.69	10.85	11.92	16.45	4.39	33.79	9.05	8.07	44.96	15.95	23.23	6.74	19.57	15.68	11.99	6.55	13.05	6.74	17.08	21.31	21.16	11.72
7.29	4.22	6.81	4.54	6.9	6.62	6.16	7.2	4.22	4.31	6.81	6.62	5.97	6.62	5.2	4.42	6.61	7.0	3.65	6.27	6.71	6.62	6.33	16.3
24.21	40.6	45.79	33.63	45.73	36.73	14.75	39.74	27.37	20.66	43.06	32.91	47.36	40.79	36.62	38.49	31.03	37.87	38.99	50.47	36.1	34.07	41.29	23.82
12.67	11.82	34.34	25.55	30.59	33.12	32.18	33.02	21.28	28.76	30.5	27.06	19.99	31.01	26.04	39.43	36.64	17.26	38.69	21.52	30.59	31.75	32.93	33.36
39.35	45.5	39.11	49.76	47.73	63.94	39.24	52.08	52.08	12.14	47.73	47.38	39.77	16.05	39.22	45.85	61.86	52.91	45.36	42.08	61.43	26.24	45.36	44.38
24.69	16.41	31.4	9.05	35.93	46.9	30.7	35.57	14.24	6.05	46.12	35.93	18.27	6.04	20.55	21.92	12.81	9.54	25.95	18.99	39.39	25.26	24.75	55.38
22.37	23.54	17.81	20.48	39.16	30.76	19.11	41.02	35.71	20.97	42.98	27.9	31.69	18.7	40.95	50.95	25.38	15.48	32.8	40.24	40.95	20.64	18.34	51.45
21.14	41.61	59.23	41.61	79.11	45.26	37.6	79.11	10.17	7.77	79.11	54.45	44.8	44.08	16.47	49.13	61.63	26.13	58.28	31.46	79.11	37.6	40.53	45.26
39.43	9.86	51.5	14.68	100.0	30.93	6.66	29.12	39.43	18.3	29.12	29.12	51.5	20.46	19.67	50.39	30.93	30.93	30.93	9.1	29.12	19.67	40.16	29.12
37.55	33.16	39.39	23.39	45.85	44.76	20.3	52.08	36.91	28.2	53.61	41.9	45.78	39.02	17.83	33.1	44.48	37.84	60.11	44.39	62.74	25.21	48.6	68.8
6.74	7.13	6.74	44.63	16.59	6.27	46.71	48.55	45.62	9.43	20.16	6.74	6.74	6.27	2.72	14.58	6.27	5.67	45.62	6.27	47.75	5.3	6.74	6.27
56.6	39.9	60.94	60.84	44.41	48.87	19.0	44.41	46.65	45.99	48.87	60.84	57.37	31.99	48.87	44.41	49.62	44.41	56.6	36.51	48.87	44.41	56.6	60.84
11.3	49.96	51.29	40.67	81.2	67.44	31.96	100.0	46.36	21.82	91.82	41.79	47.11	34.08	33.82	81.2	46.31	33.65	46.26	28.3	81.2	27.78	55.82	72.64
12.4	5.54	29.62	25.95	51.5	66.06	12.58	68.65	7.44	6.26	55.33	58.28	11.2	5.14	44.9	41.37	7.92	44.02	35.85	46.86	61.48	6.69	30.93	25.95
46.59	40.13	53.91	32.62	54.36	46.2	31.79	45.25	31.66	38.88	55.54	45.25	39.22	34.24	28.42	46.66	48.96	47.93	32.69	47.83	55.07	39.39	51.66	44.84
7.6	22.48	14.9	40.21	27.41	49.03	13.37	58.49	18.97	10.24	59.88	45.59	25.13	31.02	16.4	46.55	46.92	18.22	22.62	17.14	44.73	19.4	33.82	43.32
8.94	9.41	44.27	52.69	82.58	70.18	10.05	83.96	57.86	6.48	47.06	75.22	51.99	16.81	28.2	61.83	51.99	24.67	56.8	83.18	87.87	7.85	72.17	87.87
44.12	33.82	68.69	77.89	73.98	70.09	55.35	84.94	59.23	30.88	92.79	71.04	53.47	30.45	42.92	61.1	65.5	47.45	64.02	34.53	78.35	34.93	35.97	74.55
22.53	21.99	22.53	28.76	28.76	26.93	10.67	31.47	14.01	20.67	42.42	23.23	23.69	8.29	12.48	27.88	19.89	11.79	23.24	21.76	33.84	10.74	26.93	39.39
18.97	6.73	23.47	44.43	51.28	60.49	21.34	88.95	7.34	9.23	88.95	10.14	6.2	18.97	4.79	6.45	5.37	7.05	9.5	28.42	88.95	21.12	45.3	11.38
60.29	65.86	58.94	60.29	20.83	39.67	7.15	61.53	11.99	50.98	24.53	17.52	51.87	80.88	9.36	67.74	62.47	19.91	24.91	47.91	67.74	10.08	20.84	63.64
10.31	13.58	31.03	20.3	63.01	37.31	11.6	66.47	24.61	3.71	44.83	55.07	14.75	39.8	12.3	23.51	12.25	3.79	10.1	12.12	65.22	7.14	17.9	65.45
42.6	42.66	55.56	53.96	51.92	53.26	64.56	75.17	42.66	42.6	51.25	41.45	53.54	39.79	32.13	54.69	56.18	54.82	30.61	62.87	65.08	67.62	56.97	43.31
11.63	6.44	10.6	7.77	76.92	43.67	4.02	100.0	9.78	7.77	100.0	7.77	10.6	4.02	9.01	36.03	6.44	8.91	4.25	9.01	34.79	4.79	8.61	38.25
35.54	23.01	41.27	34.3	36.84	43.6	24.34	42.6	27.94	26.36	41.04	36.91	15.69	35.58	27.02	42.6	26.79	29.95	20.39	40.85	42.6	30.4	45.67	44.63
20.86	46.56	22.81	41.59	66.76	63.94	8.21	78.48	42.83	18.63	76.62	22.32	39.41	42.03	16.87	53.58	22.23	20.82	20.69	41.59	78.48	30.33	30.33	68.43
36.03	33.31	19.56	30.62	66.76	55.37	5.01	78.48	9.94	5.15	85.91	16.78	51.47	53.58	24.75	26.76	40.51	33.31	16.01	41.59	52.74	36.03	43.53	39.93
22.81	33.31	22.81	25.19	25.21	64.32	31.57	66.95	19.23	19.29	75.39	54.03	51.47	42.03	27.15	42.03	40.38	17.55	22.02	50.04	42.4	40.38	40.38	37.66
43.34	45.27	52.67	56.26	54.81	52.42	50.27	69.55	51.45	41.83	75.83	62.35	76.21	65.24	29.42	62.44	72.56	51.28	47.02	47.72	71.08	40.53	41.85	64.24
14.96	5.81	8.45	5.36	32.93	18.54	32.93	54.44	29.15	16.68	32.93	29.12	30.93	18.11	35.27	32.93	20.04	43.82	27.57	41.15	25.95	8.77	14.96	30.93
17.36	16.7	4.88	31.76	26.29	17.22	17.03	30.47	9.37	4.97	32.56	23.68	7.54	21.03	4.04	37.31	17.97	16.96	22.39	17.17	34.47	4.97	19.95	23.06
29.45	16.17	24.74	36.4	54.12	52.27	28.69	54.12	47.11	20.7	54.12	41.39	24.65	17.73	27.47	40.84	24.34	40.52	37.95	15.73	45.36	13.25	33.65	54.12
32.14	28.2	51.99	44.93	56.43	53.38	36.94	76.74	58.94	40.19	76.74	56.43	37.86	16.7	21.05	35.97	43.55	56.43	41.86	26.51	63.5	22.13	22.82	63.5
10.12	10.09	11.2	20.18	9.74	6.45	12.58	34.71	7.82	5.01	8.34	6.25	5.96	5.25	10.06	6.02	5.06	6.25	6.25	7.82	34.8	4.4	6.46	8.66
5.1	32.47	4.13	11.84	12.13	11.84	9.13	8.25	5.01	2.2	27.47	8.25	5.06	5.27	8.64	11.79	14.05	5.3	7.08	10.22	11.84	9.66	7.84	27.48
9.49	9.48	11.42	19.8	36.57	33.97	12.97	40.9	25.09	8.84	40.9	19.8	10.17	9.78	7.73	11.78	9.49	13.57	19.32	16.95	33.97	9.23	14.97	35.81
28.81	11.33	15.99	9.75	95.3	22.71	21.31	70.21	26.34	19.0	95.3	25.4	28.86	6.02	25.66	15.58	30.05	14.44	21.03	24.89	70.21	25.14	29.05	82.42
11.42	9.55	28.82	37.42	41.79	40.02	17.52	27.81	7.31	18.84	34.96	30.83	25.59	6.92	23.58	37.39	21.37	7.44	17.84	8.79	31.76	17.86	7.78	22.56
47.07	38.41	30.64	18.94	37.12	77.32	35.59	74.77	43.26	31.98	77.32	53.81	40.36	18.2	28.25	68.73	25.62	28.3	34.4	41.77	77.32	16.13	25.45	77.32
30.7	38.09	38.41	37.78	71.5	84.42	41.97	84.42	50.34	26.21	77.69	75.64	26.1	12.91	26.32	40.84	28.99	26.72	57.05	15.09	84.42	30.53	24.25	69.98
6.76	11.57	13.02	6.68	34.33	16.86	9.44	38.85	6.35	6.49	33.87	10.13	12.4	7.93	3.34	7.9	12.16	10.16	11.35	6.56	35.74	1.87	14.26	49.07
6.37	16.83	17.14	28.95	33.7	51.94	14.98	33.34	13.33	14.82	33.7	16.22	6.76	7.73	16.07	35.52	19.04	13.63	18.36	32.77	30.89	12.8	17.11	25.77
17.59	8.68	19.19	13.89	48.3	25.6	14.64	48.3	14.84	16.7	48.72	22.48	14.65	6.7	11.5	22.46	7.0	7.0	7.18	17.59	27.48	0.01	14.46	25.68
28.58	6.5	30.85	31.32	41.37	37.52	39.68	72.0	21.25	32.95	83.18	32.6	20.3	5.72	4.3	14.4	31.24	34.62	20.77	17.15	56.38	6.13	22.12	56.97
31.63	34.18	42.64	32.14	33.4	39.05	43.14	39.36	46.11	40.75	47.23	27.83	49.57	49.63	27.35	46.17	40.45	37.93	40.85	35.74	37.27	32.51	27.72	36.04
46.33	41.11	38.46	29.53	43.94	46.09	31.64	35.71	43.94	27.19	38.46	38.46	27.19	34.56	28.98	39.52	38.46	38.88	38.46	30.34	46.09	30.17	38.46	38.86
25.43	14.31	25.38	15.37	32.37	33.49	9.42	15.13	9.14	9.14	37.64	43.29	8.5	13.28	12.26	14.02	26.19	8.82	20.22	15.69	38.42	13.8	25.43	15.82
21.86	11.83	26.02	26.12	22.02	27.06	5.14	18.04	15.51	6.79	20.3	22.67	17.32	19.4	19.39	19.64	10.24	10.88	27.17	23.72	18.23	14.46	29.45	25.29
8.64	7.92	34.92	18.84	40.65	34.92	8.77	32.93	60.29	20.52	32.93	40.65	12.67	18.61	26.77	38.18	40.65	24.26	16.54	12.46	38.18	11.73	32.92	38.18
4.26	10.13	38.19	32.48	80.3	23.3	9.99	46.1	21.05	8.07	91.85	39.64	7.18	30.2	30.66	26.32	8.24	22.0	28.58	31.35	67.53	4.19	16.25	50.88
18.52	27.45	16.36	21.43	55.42	27.08	24.71	48.93	34.08	4.32	26.93	27.27	28.0	16.08	20.9	42.15	23.52	13.52	28.92	10.28	46.68	1.53	29.6	56.75
4.09	4.41	4.4	18.64	41.25	8.55	4.4	4.57	4.57	4.42	4.02	4.4	15.23	4.4	6.25	3.7	13.15	7.43	13.22	13.76	4.57	13.22	41.25	4.02
22.64	22.05	27.19	47.09	47.09	70.86	22.79	100.0	16.75	18.0	100.0	27.19	25.22	13.0	20.47	82.82	18.44	18.44	18.44	50.24	100.0	16.68	25.77	100.0
42.99	24.77	53.94	21.86	40.47	37.59	23.89	25.0	43.47	7.97	30.38	29.21	19.76	19.26	43.12	28.39	31.61	29.18	25.19	26.15	30.38	16.76	23.26	30.76
29.99	31.98	44.16	40.24	42.17	30.89	14.99	63.27	32.42	18.7	58.98	43.3	24.47	25.53	30.62	34.51	36.75	20.2	37.52	36.15	48.66	31.08	37.95	48.66
42.83	41.26	39.14	13.08	45.86	68.87	29.46	45.86	37.28	19.99	45.86	54.03	31.6	18.91	29.45	30.33	23.8	18.09	16.92	32.0	56.75	25.07	17.95	33.13
14.85	6.59	27.81	49.87	48.63	27.26	11.28	72.64	5.38	11.33	48.63	55.63	11.14	9.57	10.02	14.55	35.31	10.96	27.41	58.92	48.63	15.87	31.36	67.68
10.85	10.62	45.03	33.97	73.15	75.15	19.38	86.81	75.15	46.78	100.0	67.04	40.76	37.36	56.06	75.15	67.04	13.5	67.04	17.44	100.0	37.96	49.73	86.81
11.18	25.7	22.41	12.12	37.34	33.88	9.09	47.64	28.66	26.65	50.19	24.17	28.81	21.92	16.27	50.99	25.83	17.25	10.3	6.91	36.58	24.74	19.11	51.14
43.0	42.8	44.29	42.04	43.36	45.62	38.95	39.5	44.89	45.9	48.24	45.62	45.9	45.65	40.31	0.0	43.36	45.26	44.29	42.04	46.16	49.27	46.17	45.26
22.37	8.62	24.03	15.64	21.96	17.81	5.11	39.63	7.26	13.46	37.2	20.21	15.64	2.23	16.41	16.41	19.55	19.26	31.99	10.72	37.12	12.31	21.63	11.84
8.1	13.3	9.77	11.78	23.0	33.4	3.74	11.1	6.08	3.62	18.74	3.78	4.14	5.85	13.44	18.65	6.65	4.36	15.96	21.46	11.61	11.62	3.83	11.61
2.46	6.0	14.61	15.95	43.07	16.33	4.45	49.95	9.36	16.5	49.95	30.11	9.09	8.04	16.19	9.39	8.4	25.44	40.76	44.94	49.95	6.0	25.92	52.28
4.72	7.04	16.56	2.46	2.86	2.84	22.54	50.06	18.19	10.38	38.09	2.72	2.46	2.39	6.14	4.97	2.46	4.3	2.35	5.04	42.35	2.81	2.7	50.06
12.22	10.85	51.19	39.45	32.87	36.74	26.3	41.71	42.58	32.87	46.96	35.31	22.74	22.25	28.98	57.32	36.74	32.77	46.84	32.87	51.19	30.87	36.74	56.44
53.83	52.04	46.64	33.1	100.0	68.8	47.24	100.0	75.16	22.21	95.34	56.03	15.76	20.67	61.43	80.38	75.22	49.81	63.39	66.63	100.0	43.31	61.79	59.48
16.83	15.19	16.07	39.61	50.8	52.65	14.58	28.17	11.79	14.46	41.57	45.3	24.86	17.8	26.4	34.83	17.38	7.02	29.22	14.86	55.02	12.37	13.98	46.81
28.06	32.95	45.01	32.24	38.59	35.9	4.11	49.35	43.25	18.9	61.0	42.51	34.62	14.75	20.67	35.9	37.92	18.84	40.1	28.74	58.39	24.09	32.73	64.86
15.54	7.41	20.8	11.24	18.19	17.83	14.54	56.84	17.58	24.75	47.51	10.92	17.12	7.65	14.48	34.2	7.55	24.31	10.72	5.07	41.86	33.13	22.33	31.33
18.54	36.66	21.95	44.9	48.9	37.9	7.97	48.9	28.78	19.69	48.9	46.76	35.87	12.85	24.13	36.66	10.98	23.83	24.94	6.44	37.9	16.2	30.93	34.92
23.8	11.7	22.74	30.45	69.97	43.15	10.93	69.97	43.15	2.66	51.01	16.85	17.18	11.67	18.06	51.01	22.05	22.79	29.74	45.07	69.97	5.4	16.85	17.28
5.25	6.2	32.89	33.57	23.17	45.45	7.08	45.59	12.96	10.01	32.37	21.28	7.65	8.93	24.13	38.4	21.23	5.04	13.22	34.78	48.16	2.81	17.0	26.45
38.91	38.57	47.03	52.7	61.43	61.37	26.37	40.45	53.4	47.06	58.92	48.63	58.42	56.97	55.04	51.39	57.59	49.43	56.05	46.27	63.78	33.92	69.64	40.07
15.45	20.38	51.23	51.23	83.76	65.04	34.54	100.0	38.34	36.6	65.04	65.04	62.14	44.65	28.11	83.76	51.23	28.11	48.68	41.58	100.0	21.7	46.09	65.24
5.93	10.59	33.38	20.08	62.68	5.27	17.41	63.84	17.79	7.21	61.48	19.99	18.56	9.27	0.46	48.68	13.74	11.76	21.08	37.68	61.48	6.03	28.98	72.42
28.69	56.6	28.94	70.77	26.18	53.06	7.73	55.8	11.49	19.69	42.46	39.55	33.49	26.1	26.24	59.32	37.03	8.85	44.23	14.96	40.6	9.25	12.71	36.33
32.23	28.97	46.77	20.33	45.62	53.59	19.71	71.26	32.23	14.77	84.11	75.79	17.39	15.21	32.23	50.86	34.7	13.24	38.75	47.32	84.11	16.57	47.77	56.35
10.52	11.26	31.69	16.62	16.68	17.69	9.48	7.22	8.96	6.72	17.69	6.99	6.99	6.72	5.15	7.69	6.99	11.64	6.99	7.44	7.22	5.75	18.84	18.17
49.61	66.9	72.46	52.04	100.0	97.26	24.63	97.26	64.7	40.64	100.0	67.3	38.64	57.07	10.01	69.26	62.9	48.76	44.71	57.9	100.0	37.6	57.41	100.0
6.63	30.28	6.26	7.01	20.71	23.58	5.88	59.69	16.2	14.96	36.16	9.63	7.19	5.15	3.0	7.44	6.07	6.92	5.88	5.73	59.69	6.29	14.68	6.11
11.25	11.19	15.47	20.04	50.35	19.69	14.4	26.52	10.88	10.12	26.52	29.12	10.52	8.77	12.22	34.46	14.03	3.03	15.28	7.95	21.95	11.25	14.03	24.8
17.59	23.27	34.75	20.59	41.82	38.38	19.89	24.32	8.93	6.18	38.38	36.93	17.0	25.75	16.63	36.46	32.08	15.88	46.73	11.63	38.38	9.01	16.7	38.82
21.33	26.26	30.1	10.71	37.38	27.08	20.15	22.51	33.58	25.43	73.29	44.0	29.84	28.86	21.33	39.3	21.33	20.22	43.19	14.01	39.09	21.66	35.9	60.48
6.29	6.19	43.04	59.4	68.92	58.25	9.97	67.96	25.16	10.33	67.96	21.34	7.32	25.31	10.58	54.69	31.14	17.05	43.91	15.05	77.44	3.15	7.35	77.44
24.77	12.02	21.62	7.91	38.55	31.59	13.25	100.0	21.22	18.73	91.32	22.54	20.39	16.33	21.22	27.27	13.74	13.25	22.35	9.59	40.19	8.17	26.16	43.5
28.92	36.91	48.94	33.3	70.03	45.09	23.69	92.2	53.51	24.02	78.84	38.69	31.42	51.56	29.74	51.6	45.1	27.4	50.56	43.52	92.35	26.58	40.11	76.28
22.55	28.22	54.77	27.64	49.49	58.03	27.83	66.96	41.03	37.27	66.96	55.98	29.79	27.3	35.46	36.46	44.39	58.47	46.4	38.0	66.96	36.6	51.01	66.96
78.48	52.26	70.3	66.95	78.48	89.42	33.07	89.42	58.53	40.98	52.16	89.42	66.47	13.44	62.96	29.36	68.55	56.49	89.42	53.22	89.42	19.11	46.31	89.42
37.24	11.79	26.02	54.8	51.61	36.89	10.31	71.96	17.58	16.19	57.37	30.6	37.3	14.08	22.68	10.69	14.0	12.6	11.52	52.74	34.8	32.27	37.27	11.52
14.66	23.77	33.34	28.43	48.43	35.63	11.42	42.93	22.54	15.27	50.65	32.83	18.89	30.37	26.37	37.24	21.02	8.56	33.71	20.41	34.5	14.09	21.9	49.61
6.11	6.11	12.98	12.98	12.11	1.53	13.58	17.33	17.31	12.8	17.33	12.98	12.11	7.01	10.92	12.11	13.11	20.76	12.11	6.34	16.39	13.58	13.58	12.11
26.76	70.72	59.81	59.81	59.81	49.43	45.01	59.81	41.43	70.51	62.07	59.81	59.81	33.96	54.12	54.79	49.03	51.65	59.81	53.02	61.35	0.0	72.49	62.07
23.68	23.68	23.26	26.04	43.48	28.84	18.52	43.48	37.52	24.04	37.66	35.98	31.67	27.19	12.22	26.04	36.71	14.73	24.93	16.2	43.48	18.95	31.75	37.66
8.83	28.16	24.16	38.79	12.13	27.57	17.52	24.45	15.21	13.95	26.02	27.15	20.16	16.92	11.07	33.7	12.1	5.33	17.76	20.1	14.77	7.4	7.97	31.96
23.63	26.5	19.51	20.33	24.92	21.07	20.07	21.1	13.52	11.29	32.48	25.47	11.95	12.58	17.96	11.16	19.51	16.11	23.21	28.18	24.64	27.13	18.22	11.95
21.22	10.84	18.12	6.41	38.19	19.01	11.91	41.07	12.19	4.43	35.31	7.62	9.4	21.56	6.88	14.81	18.55	9.05	6.96	25.18	32.79	13.75	7.9	34.44
32.66	30.3	49.7	15.7	56.61	54.97	25.82	56.61	52.12	18.21	54.97	49.7	14.94	17.3	29.67	52.05	30.83	26.75	35.87	12.23	54.97	30.1	33.92	54.97
33.92	37.9	7.54	7.54	16.24	17.12	6.23	17.12	34.0	35.87	50.21	6.54	37.9	5.91	12.58	16.68	34.0	7.68	7.54	37.9	6.89	12.8	34.0	17.54
37.03	49.36	37.03	80.03	80.03	63.89	7.44	63.89	41.37	19.77	63.89	80.03	16.62	41.37	26.8	80.03	12.87	15.31	18.84	15.31	63.89	37.03	15.31	66.06
13.17	6.61	14.08	25.05	50.36	41.28	6.77	70.94	10.35	22.63	53.28	13.16	31.68	12.86	20.82	21.03	11.84	11.01	23.31	28.65	29.66	16.68	12.85	53.28
39.28	39.28	39.28	65.8	65.8	65.8	11.48	65.8	53.73	5.61	100.0	65.8	29.07	29.07	19.67	39.28	47.99	29.8	100.0	53.73	65.8	30.21	10.15	65.8
23.55	38.55	40.49	38.54	100.0	61.35	27.32	100.0	39.61	32.18	100.0	62.81	51.76	28.7	59.9	53.88	63.76	33.94	52.08	50.54	100.0	23.41	52.66	100.0
8.13	9.24	84.24	37.6	84.24	84.24	56.59	65.92	59.15	56.59	65.92	69.31	84.24	65.92	39.67	49.13	59.23	32.0	50.39	59.15	65.92	40.9	59.23	84.24
32.18	44.67	45.15	58.37	60.08	54.67	24.87	59.12	32.56	30.66	78.33	46.3	18.02	39.22	31.27	57.1	55.65	48.01	34.2	30.92	67.82	22.07	31.64	43.9
35.82	48.09	40.63	12.49	60.59	48.96	48.96	48.96	28.01	40.28	70.99	28.01	33.87	7.65	56.84	70.99	33.87	28.01	37.49	35.19	65.35	12.02	48.96	65.35
50.63	29.98	70.95	68.62	100.0	89.42	21.13	100.0	39.33	37.31	100.0	82.07	58.32	64.86	40.22	70.95	58.32	58.32	74.23	63.3	100.0	58.32	59.07	71.72
48.73	44.13	17.0	56.38	56.47	40.1	24.81	24.75	12.7	39.73	33.76	38.14	12.86	22.61	28.46	46.02	5.41	17.27	35.67	28.54	44.69	16.21	22.0	56.38
