SOURCE_SHEET;TERM NUMBER;TYPE OF ABBREVIATED FORM;IT EXAMPLE;IT TERM;STANDARDISED/RECOMMENDED FULL FORM;TARGET HYPOTHESIS (DE SOUTH TYROL);OTHER TERMS SOUTH TYROL (CSV);TERMS FROM OTHER LEGAL SYTEMS (CSV);test_predictions
abbreviated forms;1;initialism + full form;Il Responsabile del servizio di prevenzione e protezione (RSPP) è una figura designata dal datore di lavoro e deve possedere requisiti professionali specifici.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;Der Verantwortliche des Arbeitsschutzdienstes (RSPP) ist eine vom Arbeitgeber bestimmte Person und muss spezifische berufliche Voraussetzungen besitzen.
abbreviated forms;1;initialism + full form;Chi ha il compito di nominare il R.S.P.P. (Responsabile del servizio di prevenzione e protezione)?;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;"""Wer hat die Aufgabe, den R.S.P.P. (Verantwortliche des Arbeitsschutzdienstes) zu ernennen?"""
abbreviated forms;1;initialism + full form;L’istituzione del servizio di prevenzione e protezione all’interno dell’azienda, così come la designazione di un Responsabile del servizio di prevenzione e protezione (RSPP) interno, è obbligatorio solo in alcuni casi.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;Die Einrichtung des Arbeitsschutzdienstes im Betrieb sowie die Ernennung eines internen Verantwortlichen des Arbeitsschutzdienstes (SRL) ist nur in einigen Fällen vorgeschrieben.
abbreviated forms;1;initialism + full form;Il Datore di Lavoro può nominare un R.S.P.P. (Responsabile del Servizio di Prevenzione e Protezione) interno all'azienda oppure può affidare il ruolo ad un consulente esterno.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;Der Arbeitgeber kann einen am Betrieb betrieblichen R.S.P.P. (Verantwortliche des Dienstes für Prävention und Schutz) ernennen oder die Rolle einem externen Berater anvertrauen.
abbreviated forms;2;initialism;La lista aggiornata degli RSPP assegnati ai rispettivi datori di lavoro è disponibile sulla pagina web del SPP.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;Die aktualisierte Liste der den jeweiligen Arbeitgebern zugewiesenen EGV ist auf der Webseite der SLH verfügbar.
abbreviated forms;2;initialism;Anche nel caso di organizzazione di un SPP interno, il datore di lavoro può decidere di coadiuvarne le attività di prevenzione attraverso consulenti esterni in possesso delle conoscenze professionali necessarie.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;"""Auch im Falle der Organisation einer internen LZS kann der Arbeitgeber entscheiden, die Vorbeugungstätigkeiten durch externe Berater, die im Besitz der erforderlichen beruflichen Kenntnisse sind, zu unterstützen."""
abbreviated forms;2;initialism;Il SPP è l'insieme di persone, sistemi e mezzi interni o esterni all'azienda finalizzati all'attività di prevenzione e protezione dai rischi professionali per i lavoratori.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;"""Die LZS ist die Gesamtheit von Personen, Systemen und Mitteln, die innerhalb oder außerhalb des Betriebes zur Vorbeugung und zum Schutz vor den beruflichen Risiken für die Arbeitnehmer erbracht werden."""
abbreviated forms;2;initialism;Il datore di lavoro organizza il SPP nominando gli addetti e i responsabili del servizio in possesso dei requisiti di cui all’art. 32, in numero congruo alle esigenze dell’azienda.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;"""Der Arbeitgeber organisiert die LZS, indem er die Bediensteten und die Verantwortlichen des Dienstes, welche die Voraussetzungen laut Artikel 32 erfüllen, in einer angemessenen Zahl ernennt, die den Erfordernissen des Betriebes angemessen ist."""
abbreviated forms;2;initialism;Ci sono dei casi in cui è obbligatorio che il SPP sia istituito all’interno dell’azienda, ovvero dell’unità produttiva.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;"""Es gibt Fälle, in denen die Einrichtung der LZS innerhalb des Betriebes, bzw. der Produktionseinheit, obligatorisch ist."""
abbreviated forms;2;initialism;La lista aggiornata degli RSPP assegnati ai rispettivi datori di lavoro è disponibile sulla pagina web del S.P.P.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;Die aktualisierte Liste der den jeweiligen Arbeitgebern zugewiesenen EGV ist auf der Webseite des S.LH. verfügbar.
abbreviated forms;2;initialism;Anche nel caso di organizzazione di un S.P.P. interno, il datore di lavoro può decidere di coadiuvarne le attività di prevenzione attraverso consulenti esterni in possesso delle conoscenze professionali necessarie.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;"""Auch im Falle der Organisation eines internen L.G. kann der Arbeitgeber entscheiden, die Vorbeugungstätigkeiten durch externe Berater zu unterstützen, die die notwendigen beruflichen Kenntnisse besitzen."""
abbreviated forms;2;initialism;Il S.P.P. è l'insieme di persone, sistemi e mezzi interni o esterni all'azienda finalizzati all'attività di prevenzione e protezione dai rischi professionali per i lavoratori.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;"""Der LZS ist die Gesamtheit von Personen, Systemen und Mitteln, die innerhalb oder außerhalb des Betriebes zur Vorbeugung und zum Schutz vor Berufsrisiken für Arbeitnehmer erbracht werden."""
abbreviated forms;2;initialism;Il datore di lavoro organizza il S.P.P. nominando gli addetti e i responsabili del servizio in possesso dei requisiti di cui all’art. 32, in numero congruo alle esigenze dell’azienda.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;"""Der Arbeitgeber organisiert das L.G. und ernennt die Bediensteten und die Verantwortlichen des Dienstes, welche die Voraussetzungen laut Art. 32 erfüllen, in einer angemessenen Zahl, die den Erfordernissen des Betriebes angemessen ist."""
abbreviated forms;2;initialism;Ci sono dei casi in cui è obbligatorio che il S.P.P. sia istituito all’interno dell’azienda, ovvero dell’unità produttiva.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;"""Es gibt Fälle, in denen die Einrichtung des S.L.A. innerhalb des Betriebes bzw. der Produktionseinheit vorgeschrieben ist."""
abbreviated forms;2;initialism + full form;La lista aggiornata degli RSPP assegnati ai rispettivi datori di lavoro è disponibile sulla pagina web del S.P.P. (Servizio di prevenzione e protezione).;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;Die aktualisierte Liste der den jeweiligen Arbeitgebern zugewiesenen EGV ist auf der Webseite des S.L.A. (Präventiv- und Schutzdienst) verfügbar.
abbreviated forms;2;initialism + full form;Anche nel caso di organizzazione di un Servizio di prevenzione e protezione (S.P.P.) interno, il datore di lavoro può decidere di coadiuvarne le attività di prevenzione attraverso consulenti esterni in possesso delle conoscenze professionali necessarie.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;"""Auch im Falle der Organisation einer internen Arbeitsschutzstelle (S.L.A.) kann der Arbeitgeber entscheiden, die Vorbeugungstätigkeit durch externe Berater zu unterstützen, die über die erforderlichen beruflichen Kenntnisse verfügen."""
abbreviated forms;2;initialism + full form;Il Servizio di prevenzione e protezione (S.P.P.) è l'insieme di persone, sistemi e mezzi interni o esterni all'azienda finalizzati all'attività di prevenzione e protezione dai rischi professionali per i lavoratori.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;"""Die Dienststelle für Arbeitsschutz (S.L.A.) ist die Gesamtheit von Personen, Systemen und Mitteln, die innerhalb oder außerhalb des Betriebes tätig sind und für die Vorbeugung und den Schutz vor den beruflichen Risiken für die Arbeitnehmer bestimmt sind."""
abbreviated forms;2;initialism + full form;Il datore di lavoro organizza il Servizio di prevenzione e protezione (SPP) nominando gli addetti e i responsabili del servizio in possesso dei requisiti di cui all’art. 32, in numero congruo alle esigenze dell’azienda.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;"""Der Arbeitgeber organisiert den Arbeitsschutzdienst (LSP), indem er die Bediensteten und die Verantwortlichen des Dienstes, welche die Voraussetzungen laut Artikel 32 erfüllen, in einer für die Erfordernisse des Betriebes angemessenen Zahl ernennt."""
abbreviated forms;2;initialism + full form;Ci sono dei casi in cui è obbligatorio che il SPP (Servizio di prevenzione e protezione) sia istituito all’interno dell’azienda, ovvero dell’unità produttiva.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;"""Es gibt Fälle, in denen verpflichtend ist, dass der Dienst für Arbeitsschutz innerhalb des Betriebes, bzw. der Produktionseinheit, eingerichtet wird."""
abbreviated forms;3;initialism;L’ASPP è un collaboratore del datore di lavoro in materia di salute e sicurezza sul lavoro.;ASPP;yes;BASD, Beauftragter des Arbeitsschutzdienstes;Arbeitsschutzbeauftragter;;Der SUP ist ein Mitarbeiter des Arbeitgebers im Bereich der Gesundheit und Sicherheit am Arbeitsplatz.
abbreviated forms;3;initialism;Possono essere nominati ASPP i dipendenti in possesso di un titolo di studio non inferiore al diploma di scuola secondaria di secondo grado e che abbiano effettuato la formazione prevista per legge.;ASPP;yes;BASD, Beauftragter des Arbeitsschutzdienstes;Arbeitsschutzbeauftragter;;"""Als ASPS können Bedienstete ernannt werden, die einen mindestens entsprechenden Studientitel als Oberschuldiplom haben und die gesetzlich vorgesehene Ausbildung absolviert haben."""
abbreviated forms;3;initialism;Il modulo di proposta di nomina e di nomina effettiva degli ASPP sono disponibili sulla pagina web del servizio di prevenzione e protezione.;ASPP;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;Das Formular für die Ernennung und die effektive Ernennung der ASPP steht auf der Webseite des Arbeitsschutzdienstes zur Verfügung.
abbreviated forms;3;initialism;L'ASPP è una figura che gerarchicamente risponde al RSPP.;ASPP;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;"""Der SUP ist eine Figur, die hierarchisch auf die EGV antwortet."""
abbreviated forms;3;initialism;I compiti dell'ASPP nell'Amministrazione Provinciale e nelle scuole sono stati definiti dalla Giunta Provinciale.;ASPP;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;Die Aufgaben des SUP in der Landesverwaltung und in den Schulen wurden von der Landesregierung festgelegt.
abbreviated forms;3;initialism;L’A.S.P.P. è un collaboratore del datore di lavoro in materia di salute e sicurezza sul lavoro.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;Die A.S.L.P. ist ein Mitarbeiter des Arbeitgebers im Bereich der Gesundheit und Sicherheit am Arbeitsplatz.
abbreviated forms;3;initialism;Possono essere nominati A.S.P.P. i dipendenti in possesso di un titolo di studio non inferiore al diploma di scuola secondaria di secondo grado e che abbiano effettuato la formazione prevista per legge.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;"""Als A.S.L.A.S.P. können Bedienstete ernannt werden, die einen mindestens entsprechenden Studientitel besitzen und die gesetzlich vorgesehene Ausbildung absolviert haben."""
abbreviated forms;3;initialism;Il modulo di proposta di nomina e di nomina effettiva degli A.S.P.P. sono disponibili sulla pagina web del servizio di prevenzione e protezione.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;Der Vordruck für die Ernennung und die effektive Ernennung der LZS steht auf der Webseite des Arbeitsschutzdienstes zur Verfügung.
abbreviated forms;3;initialism;L'A.S.P.P. è una figura che gerarchicamente risponde al R.S.P.P.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;"""Der A.S.P.P. ist eine Figur, die hierarchisch auf das R.S.P.P.P. verantwortet."""
abbreviated forms;3;initialism;I compiti dell'A.S.P.P. nell'Amministrazione Provinciale e nelle scuole sono stati definiti dalla Giunta Provinciale.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;Die Aufgaben der Landes- und Schulverwaltung wurden von der Landesregierung festgelegt.
abbreviated forms;4;initialism;I DPI devono essere impiegati quando i rischi non possono essere evitati o sufficientemente ridotti da misure tecniche di prevenzione, da mezzi di protezione collettiva, da misure, metodi o procedimenti di riorganizzazione del lavoro.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Die PSA muss verwendet werden, wenn die Risiken durch technische Präventionsmaßnahmen, durch kollektive Schutzmittel, durch Maßnahmen, Methoden oder Verfahren zur Reorganisation der Arbeit nicht ausreichend vermieden oder gekürzt werden können."""
abbreviated forms;4;initialism;Ogni intervento ha come conseguenza che il DPI non è più integro e deve essere sostituito.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Jeder Eingriff hat die Folge, dass die PSA nicht mehr unbeschränkt ist und ersetzt werden muss."""
abbreviated forms;4;initialism;In caso di rischi multipli, che richiedono l’uso simultaneo di più DPI, questi devono essere tra loro compatibili e tali da mantenere, anche nell’uso simultaneo, la propria efficacia nei confronti del rischio e dei rischi corrispondenti.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Bei Mehrfachrisiken, die die gleichzeitige Verwendung mehrerer PSA erfordern, müssen diese untereinander vereinbar sein und so erfolgen, dass sie, auch bei gleichzeitiger Verwendung, ihre Wirksamkeit gegenüber dem Risiko und den entsprechenden Risiken erhalten."""
abbreviated forms;4;initialism;L’art. 76 definisce i requisiti dei DPI, i quali devono essere conformi alle norme di cui al regolamento (UE) n. 2016/425.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Art. 76 legt die Anforderungen an PSA fest, die den Bestimmungen der Verordnung (EU) Nr. 1024/20125 entsprechen müssen."""
abbreviated forms;4;initialism;Se il fabbricante non indica la scadenza nel DPI, la deve inserire nelle istruzioni con tutte le informazioni necessarie a consentire all'acquirente o all'utilizzatore di determinare il mese e l'anno di scadenza ragionevole.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Wenn der Hersteller die Fälligkeit der PSA nicht anzeigt, muss er diese mit allen Informationen in die Anleitungen einfügen, die erforderlich sind, um dem Käufer oder dem Benutzer die Festsetzung des Monats und des Jahres einer angemessenen Fälligkeit zu ermöglichen."""
abbreviated forms;4;initialism;I Dpi devono essere impiegati quando i rischi non possono essere evitati o sufficientemente ridotti da misure tecniche di prevenzione, da mezzi di protezione collettiva, da misure, metodi o procedimenti di riorganizzazione del lavoro.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Die Dpi müssen verwendet werden, wenn die Risiken nicht durch technische Präventionsmaßnahmen, durch kollektive Schutzmittel, durch Maßnahmen, Methoden oder Verfahren zur Reorganisation der Arbeit vermieden oder ausreichend gekürzt werden können."""
abbreviated forms;4;initialism;Ogni intervento ha come conseguenza che il Dpi non è più integro e deve essere sostituito.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Jeder Eingriff hat die Folge, dass die Dpi nicht mehr ungefähr ist und ersetzt werden muss."""
abbreviated forms;4;initialism;In caso di rischi multipli, che richiedono l’uso simultaneo di più Dpi, questi devono essere tra loro compatibili e tali da mantenere, anche nell’uso simultaneo, la propria efficacia nei confronti del rischio e dei rischi corrispondenti.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Bei Mehrfachrisiken, die die gleichzeitige Verwendung mehrerer Dpi erfordern, müssen diese untereinander vereinbar sein und so erfolgen, dass sie, auch bei gleichzeitiger Verwendung, ihre Wirksamkeit gegenüber dem Risiko und den entsprechenden Risiken erhalten."""
abbreviated forms;4;initialism;L’art. 76 definisce i requisiti dei Dpi, i quali devono essere conformi alle norme di cui al regolamento (UE) n. 2016/425.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Art. 76 legt die Voraussetzungen für die DPI fest, die den Bestimmungen der Verordnung (EU) Nr. 1024/20125 entsprechen müssen."""
abbreviated forms;4;initialism;Se il fabbricante non indica la scadenza nel Dpi, la deve inserire nelle istruzioni con tutte le informazioni necessarie a consentire all'acquirente o all'utilizzatore di determinare il mese e l'anno di scadenza ragionevole.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Wenn der Hersteller in der DPI nicht die Fälligkeit angegeben hat, muss er diese mit allen Informationen, die erforderlich sind, um dem Käufer oder dem Benutzer die Festsetzung des Monats und des Jahres einer angemessenen Fälligkeit zu ermöglichen, in die Anleitungen einfügen."""
abbreviated forms;4;initialism;I d.p.i. devono essere impiegati quando i rischi non possono essere evitati o sufficientemente ridotti da misure tecniche di prevenzione, da mezzi di protezione collettiva, da misure, metodi o procedimenti di riorganizzazione del lavoro.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Die Verpflichtungen müssen verwendet werden, wenn die Risiken nicht durch technische Vorbeugungsmaßnahmen, durch kollektive Schutzmittel, durch Maßnahmen, Methoden oder Verfahren zur Reorganisation der Arbeit vermieden oder ausreichend gekürzt werden können."""
abbreviated forms;4;initialism;Ogni intervento ha come conseguenza che il d.p.i. non è più integro e deve essere sostituito.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Jeder Eingriff hat die Folge, dass das D.P.I. nicht mehr ungefährt ist und ersetzt werden muss."""
abbreviated forms;4;initialism;In caso di rischi multipli, che richiedono l’uso simultaneo di più d.p.i., questi devono essere tra loro compatibili e tali da mantenere, anche nell’uso simultaneo, la propria efficacia nei confronti del rischio e dei rischi corrispondenti.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Bei Mehrfachrisiken, die eine gleichzeitige Verwendung mehrerer D.P.s erfordern, müssen diese untereinander vereinbar sein und so erfolgen, dass auch bei gleichzeitiger Verwendung, die eigene Wirksamkeit gegenüber dem Risiko und den entsprechenden Risiken erhalten bleibt."""
abbreviated forms;4;initialism;L’art. 76 definisce i requisiti dei d.p.i., i quali devono essere conformi alle norme di cui al regolamento (UE) n. 2016/425.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Art. 76 legt die Voraussetzungen für die Einheitsbestimmungen fest, die den Bestimmungen der Verordnung (EU) Nr. 1024/20125 entsprechen müssen."""
abbreviated forms;4;initialism;Se il fabbricante non indica la scadenza nel d.p.i., la deve inserire nelle istruzioni con tutte le informazioni necessarie a consentire all'acquirente o all'utilizzatore di determinare il mese e l'anno di scadenza ragionevole.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;"""Wenn der Hersteller die Fälligkeit im Einzelunterlagendeverzeichnis nicht anführt, muss er diese mit allen Informationen in die Anweisungen einfügen, die erforderlich sind, um dem Käufer oder dem Benutzer die Festsetzung des Monats und des Jahres einer angemessenen Fälligkeit zu ermöglichen."""
abbreviated forms;5;initialism;L’elezione o la designazione dell'RLS è sempre obbligatoria ed inoltre deve disporre del tempo, dei mezzi e degli spazi necessari per l’espletamento delle sue attribuzioni.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;"""Die Wahl oder die Namhaftmachung des Sicherheitssprechers ist immer verpflichtend und muss über die Zeit, die Mittel und die Räume verfügen, die für die Ausübung seiner Aufgaben erforderlich sind."""
abbreviated forms;5;initialism;La figura dell'RLS ovvero del Rappresentante dei lavoratori per la sicurezza sul lavoro deve essere un punto di riferimento per tutti i lavoratori.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;Die Figur des Sicherheitssprechers bzw. des Vertreters der Arbeitnehmer für Arbeitssicherheit muss eine Bezugspunktstelle für alle Arbeitnehmer sein.
abbreviated forms;5;initialism;L'RLS è una figura che deve essere presente in ogni azienda con almeno un lavoratore.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;"""Der Sicherheitssprecher ist eine Figur, die in jedem Betrieb mit mindestens einem Arbeitnehmer anwesend sein muss."""
abbreviated forms;5;initialism;In quest'ultimo caso i lavoratori possono comunque decidere di non avvalersi di tali rappresentanze e procedere all'elezione di un RLS svincolato dai sindacati.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;"""Im letztgenannten Fall können die Arbeitnehmer jedenfalls entscheiden, sich diese Vertretungen nicht zu bedienen und einen von den Gewerkschaften freigestellten Sicherheitssprecher zu wählen."""
abbreviated forms;5;initialism;Il datore di lavoro e i dirigenti hanno l’obbligo di consultare gli RLS sostanzialmente nell’ambito di tutte le scelte in relazione la salute e sicurezza sul lavoro.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;"""Der Arbeitgeber und die Führungskräfte sind verpflichtet, die Sicherheitssprecher grundsätzlich im Rahmen aller Arztwahlen in Bezug auf Gesundheit und Sicherheit am Arbeitsplatz zu befragen."""
abbreviated forms;5;initialism;L’elezione o la designazione dell'R.L.S. è sempre obbligatoria ed inoltre deve disporre del tempo, dei mezzi e degli spazi necessari per l’espletamento delle sue attribuzioni.;R.L.S.;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;"""Die Wahl oder die Namhaftmachung der R.G. ist immer verpflichtend und muss über die Zeit, die Mittel und die Räume verfügen, die für die Ausübung ihrer Befugnisse erforderlich sind."""
abbreviated forms;5;initialism;La figura dell'R.L.S. ovvero del Rappresentante dei lavoratori per la sicurezza sul lavoro deve essere un punto di riferimento per tutti i lavoratori.;R.L.S.;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;Die Figur des B.V.S. bzw. des Vertreters der Arbeitnehmer für Arbeitssicherheit muss ein Bezugspunkt für alle Arbeitnehmer sein.
abbreviated forms;5;initialism;L'R.L.S. è una figura che deve essere presente in ogni azienda con almeno un lavoratore.;R.L.S.;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;"""Der V.A.S. ist eine Figur, die in jedem Betrieb mit mindestens einem Arbeitnehmer anwesend sein muß."""
abbreviated forms;5;initialism;In quest'ultimo caso i lavoratori possono comunque decidere di non avvalersi di tali rappresentanze e procedere all'elezione di un R.L.S. svincolato dai sindacati.;R.L.S.;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;"""Im letzteren Fall können die Arbeitnehmer jedenfalls entscheiden, diese Vertretungen nicht in Anspruch zu nehmen und einen von den Gewerkschaften freigestellten S.V.W. zu wählen."""
