SOURCE_SHEET;TERM NUMBER;TYPE OF ABBREVIATED FORM;IT EXAMPLE;IT TERM;STANDARDISED/RECOMMENDED FULL FORM;TARGET HYPOTHESIS (DE SOUTH TYROL);OTHER TERMS SOUTH TYROL (CSV);TERMS FROM OTHER LEGAL SYTEMS (CSV);test_predictions
abbreviated forms;1;initialism + full form;L’RSPP (Responsabile del Servizio di Prevenzione e Protezione) è il consulente del datore di lavoro in materia di salute e sicurezza sul lavoro ed è nominato dal direttore della ripartizione del personale.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;der EGV  verantwortliche der Dienst für Prävention und Schutz  sein der Sachverständige der Arbeitgeber in Bereich der Gesundheit und Sicherheit an Arbeitsplatz und werden von Direktor der Personalabteilung ernennen 
abbreviated forms;1;initialism + full form;Il Responsabile del servizio di prevenzione e protezione (RSPP) è una figura designata dal datore di lavoro e deve possedere requisiti professionali specifici.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;der verantwortliche der Arbeitsschutzdienst  RSPP  sein ein von Arbeitgeber bestimmt Person und muss spezifisch beruflich Voraussetzung besitzen 
abbreviated forms;1;initialism + full form;Chi ha il compito di nominare il R.S.P.P. (Responsabile del servizio di prevenzione e protezione)?;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;-- wer haben der Aufgabe  der R.S.P.P.  verantwortliche der Arbeitsschutzdienst  zu ernennen  
abbreviated forms;1;initialism + full form;L’istituzione del servizio di prevenzione e protezione all’interno dell’azienda, così come la designazione di un Responsabile del servizio di prevenzione e protezione (RSPP) interno, è obbligatorio solo in alcuni casi.;RSPP;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;der Einrichtung der Arbeitsschutzdienst in Betrieb sowie der Ernennung ein intern verantwortliche der Arbeitsschutzdienst  SRL  sein nur in einiger Fall vorschreiben 
abbreviated forms;1;initialism + full form;Il Datore di Lavoro può nominare un R.S.P.P. (Responsabile del Servizio di Prevenzione e Protezione) interno all'azienda oppure può affidare il ruolo ad un consulente esterno.;R.S.P.P.;yes;LASD;Leiter des Arbeitsschutzdienstes, Sicherheitsbeauftragter, Verantwortliche Arbeitsschutzfachkraft;;der Arbeitgeber können ein an Betrieb betrieblich R.S.P.P.  verantwortliche der Dienst für Prävention und Schutz  ernennen oder der Rolle ein extern Berater anvertrauen 
abbreviated forms;2;initialism;La lista aggiornata degli RSPP assegnati ai rispettivi datori di lavoro è disponibile sulla pagina web del SPP.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;der aktualisiert Liste der der jeweilig Arbeitgeber zugewiesen EGV sein auf der Webseite der SLH verfügbar 
abbreviated forms;2;initialism;Anche nel caso di organizzazione di un SPP interno, il datore di lavoro può decidere di coadiuvarne le attività di prevenzione attraverso consulenti esterni in possesso delle conoscenze professionali necessarie.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;-- auch in Fall der Organisation ein intern LZS können der Arbeitgeber entscheiden  der Vorbeugungstätigkeit durch extern Berater  der in Besitz der erforderlich beruflich Kenntnis sein  zu unterstützen  
abbreviated forms;2;initialism;Il SPP è l'insieme di persone, sistemi e mezzi interni o esterni all'azienda finalizzati all'attività di prevenzione e protezione dai rischi professionali per i lavoratori.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;-- der LZS sein der Gesamtheit von Person  System und Mittel  der innerhalb oder außerhalb der Betrieb zu Vorbeugung und zu Schutz vor der beruflich Risiko für der Arbeitnehmer erbringen werden  
abbreviated forms;2;initialism;Il datore di lavoro organizza il SPP nominando gli addetti e i responsabili del servizio in possesso dei requisiti di cui all’art. 32, in numero congruo alle esigenze dell’azienda.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;-- der Arbeitgeber organisieren der LZS  indem er der Bediensteter und der verantwortliche der Dienst  welcher der Voraussetzung laut Artikel 32 erfüllen  in ein angemessen Zahl ernennen  der der Erfordernis der Betrieb angemessen sein  
abbreviated forms;2;initialism;Ci sono dei casi in cui è obbligatorio che il SPP sia istituito all’interno dell’azienda, ovvero dell’unità produttiva.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;-- es geben Fall  in der der Einrichtung der LZS innerhalb der Betrieb  bzw. der Produktionseinheit  obligatorisch sein  
abbreviated forms;2;initialism;La lista aggiornata degli RSPP assegnati ai rispettivi datori di lavoro è disponibile sulla pagina web del S.P.P.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;der aktualisiert Liste der der jeweilig Arbeitgeber zugewiesen EGV sein auf der Webseite der S.LH . verfügbar 
abbreviated forms;2;initialism;Anche nel caso di organizzazione di un S.P.P. interno, il datore di lavoro può decidere di coadiuvarne le attività di prevenzione attraverso consulenti esterni in possesso delle conoscenze professionali necessarie.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;-- auch in Fall der Organisation ein intern L.G. können der Arbeitgeber entscheiden  der Vorbeugungstätigkeit durch extern Berater zu unterstützen  der der notwendig beruflich Kenntnis besitzen  
abbreviated forms;2;initialism;Il S.P.P. è l'insieme di persone, sistemi e mezzi interni o esterni all'azienda finalizzati all'attività di prevenzione e protezione dai rischi professionali per i lavoratori.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;-- der LZS sein der Gesamtheit von Person  System und Mittel  der innerhalb oder außerhalb der Betrieb zu Vorbeugung und zu Schutz vor Berufsrisiko für Arbeitnehmer erbringen werden  
abbreviated forms;2;initialism;Il datore di lavoro organizza il S.P.P. nominando gli addetti e i responsabili del servizio in possesso dei requisiti di cui all’art. 32, in numero congruo alle esigenze dell’azienda.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;-- der Arbeitgeber organisieren der L.G. und ernennen der bediensteter und der verantwortliche der Dienst  welcher der Voraussetzung laut Art . 32 erfüllen  in ein angemessen Zahl  der der Erfordernis der Betrieb angemessen sein  
abbreviated forms;2;initialism;Ci sono dei casi in cui è obbligatorio che il S.P.P. sia istituito all’interno dell’azienda, ovvero dell’unità produttiva.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;-- es geben Fall  in der der Einrichtung der S.L.A. innerhalb der Betrieb bzw. der Produktionseinheit vorschreiben sein  
abbreviated forms;2;initialism + full form;La lista aggiornata degli RSPP assegnati ai rispettivi datori di lavoro è disponibile sulla pagina web del S.P.P. (Servizio di prevenzione e protezione).;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;der aktualisiert Liste der der jeweilig Arbeitgeber zugewiesen EGV sein auf der Webseite der S.L.A.  Präventiv und Schutzdienst  verfügbar 
abbreviated forms;2;initialism + full form;Anche nel caso di organizzazione di un Servizio di prevenzione e protezione (S.P.P.) interno, il datore di lavoro può decidere di coadiuvarne le attività di prevenzione attraverso consulenti esterni in possesso delle conoscenze professionali necessarie.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;-- auch in Fall der Organisation ein intern Arbeitsschutzstelle  S.L.A.  können der Arbeitgeber entscheiden  der Vorbeugungstätigkeit durch extern Berater zu unterstützen  der über der erforderlich beruflich Kenntnis verfügen  
abbreviated forms;2;initialism + full form;Il Servizio di prevenzione e protezione (S.P.P.) è l'insieme di persone, sistemi e mezzi interni o esterni all'azienda finalizzati all'attività di prevenzione e protezione dai rischi professionali per i lavoratori.;S.P.P.;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;-- der Dienststelle für Arbeitsschutz  S.L.A.  sein der Gesamtheit von Person  System und Mittel  der innerhalb oder außerhalb der Betrieb tätig sein und für der Vorbeugung und der Schutz vor der beruflich Risiko für der Arbeitnehmer bestimmen sein  
abbreviated forms;2;initialism + full form;Il datore di lavoro organizza il Servizio di prevenzione e protezione (SPP) nominando gli addetti e i responsabili del servizio in possesso dei requisiti di cui all’art. 32, in numero congruo alle esigenze dell’azienda.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;-- der Arbeitgeber organisieren der Arbeitsschutzdienst  LSP   indem er der bediensteter und der verantwortliche der Dienst  welcher der Voraussetzung laut Artikel 32 erfüllen  in ein für der Erfordernis der Betrieb angemessen Zahl ernennen  
abbreviated forms;2;initialism + full form;Ci sono dei casi in cui è obbligatorio che il SPP (Servizio di prevenzione e protezione) sia istituito all’interno dell’azienda, ovvero dell’unità produttiva.;SPP;no;Arbeitsschutzdienst;Arbeitsschutzdienst gegen Risiken;;-- es geben Fall  in der verpflichtend sein  dass der Dienst für Arbeitsschutz innerhalb der Betrieb  bzw. der Produktionseinheit  einrichten werden  
abbreviated forms;3;initialism;L’ASPP è un collaboratore del datore di lavoro in materia di salute e sicurezza sul lavoro.;ASPP;yes;BASD  Beauftragterr der Arbeitsschutzdienst;Arbeitsschutzbeauftragter;;der SUP sein ein Mitarbeiter der Arbeitgeber in Bereich der Gesundheit und Sicherheit an Arbeitsplatz 
abbreviated forms;3;initialism;Possono essere nominati ASPP i dipendenti in possesso di un titolo di studio non inferiore al diploma di scuola secondaria di secondo grado e che abbiano effettuato la formazione prevista per legge.;ASPP;yes;BASD  Beauftragterr der Arbeitsschutzdienst;Arbeitsschutzbeauftragter;;-- als ASPS können Bedienstete ernennen werden  der ein mindestens entsprechend Studientitel als Oberschuldiplom haben und der gesetzlich vorgesehen Ausbildung absolvieren haben  
abbreviated forms;3;initialism;Il modulo di proposta di nomina e di nomina effettiva degli ASPP sono disponibili sulla pagina web del servizio di prevenzione e protezione.;ASPP;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;der Formular für der Ernennung und der effektiv Ernennung der ASPP stehen auf der Webseite der Arbeitsschutzdienst zu Verfügung 
abbreviated forms;3;initialism;L'ASPP è una figura che gerarchicamente risponde al RSPP.;ASPP;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;-- der SUP sein ein Figur  der hierarchisch auf der EGV antworten  
abbreviated forms;3;initialism;I compiti dell'ASPP nell'Amministrazione Provinciale e nelle scuole sono stati definiti dalla Giunta Provinciale.;ASPP;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;der Aufgabe der SUP in der Landesverwaltung und in der Schule werden von der Landesregierung festlegen 
abbreviated forms;3;initialism;L’A.S.P.P. è un collaboratore del datore di lavoro in materia di salute e sicurezza sul lavoro.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;der A.S.L.P. sein ein Mitarbeiter der Arbeitgeber in Bereich der Gesundheit und Sicherheit an Arbeitsplatz 
abbreviated forms;3;initialism;Possono essere nominati A.S.P.P. i dipendenti in possesso di un titolo di studio non inferiore al diploma di scuola secondaria di secondo grado e che abbiano effettuato la formazione prevista per legge.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;-- als A.S.L.A.S.P. können Bedienstete ernennen werden  der ein mindestens entsprechend Studientitel besitzen und der gesetzlich vorgesehen Ausbildung absolvieren haben  
abbreviated forms;3;initialism;Il modulo di proposta di nomina e di nomina effettiva degli A.S.P.P. sono disponibili sulla pagina web del servizio di prevenzione e protezione.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;der Vordruck für der Ernennung und der effektiv Ernennung der LZS stehen auf der Webseite der Arbeitsschutzdienst zu Verfügung 
abbreviated forms;3;initialism;L'A.S.P.P. è una figura che gerarchicamente risponde al R.S.P.P.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;-- der A.S.P.P. sein ein Figur  der hierarchisch auf der R.S.P.P.P. verantworten  
abbreviated forms;3;initialism;I compiti dell'A.S.P.P. nell'Amministrazione Provinciale e nelle scuole sono stati definiti dalla Giunta Provinciale.;A.S.P.P.;yes;BASD;Beauftragter des Arbeitsschutzdienstes, Arbeitsschutzbeauftragter;;der Aufgabe der Lande und Schulverwaltung werden von der Landesregierung festlegen 
abbreviated forms;4;initialism;I DPI devono essere impiegati quando i rischi non possono essere evitati o sufficientemente ridotti da misure tecniche di prevenzione, da mezzi di protezione collettiva, da misure, metodi o procedimenti di riorganizzazione del lavoro.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- der PSA muss verwenden werden  wenn der Risiko durch technisch Präventionsmaßnahme  durch kollektiv Schutzmittel  durch Maßnahme  Methode oder Verfahren zu Reorganisation der Arbeit nicht ausreichend vermeiden oder kürzen werden können  
abbreviated forms;4;initialism;Ogni intervento ha come conseguenza che il DPI non è più integro e deve essere sostituito.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- jeder Eingriff haben der Folge  dass der PSA nicht mehr unbeschränkt sein und ersetzen werden muss  
abbreviated forms;4;initialism;In caso di rischi multipli, che richiedono l’uso simultaneo di più DPI, questi devono essere tra loro compatibili e tali da mantenere, anche nell’uso simultaneo, la propria efficacia nei confronti del rischio e dei rischi corrispondenti.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- bei Mehrfachrisiko  der der gleichzeitig Verwendung mehrere PSA erfordern  müssen dieser untereinander vereinbar sein und so erfolgen  dass sie  auch bei gleichzeitig Verwendung  ihr Wirksamkeit gegenüber der Risiko und der entsprechend Risiko erhalten  
abbreviated forms;4;initialism;L’art. 76 definisce i requisiti dei DPI, i quali devono essere conformi alle norme di cui al regolamento (UE) n. 2016/425.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- Art . 76 legen der Anforderung an PSA fest  der der Bestimmung der Verordnung  EU  Nr. 1024  20125 entsprechen müssen  
abbreviated forms;4;initialism;Se il fabbricante non indica la scadenza nel DPI, la deve inserire nelle istruzioni con tutte le informazioni necessarie a consentire all'acquirente o all'utilizzatore di determinare il mese e l'anno di scadenza ragionevole.;DPI;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- wenn der Hersteller der Fälligkeit der PSA nicht anzeigen  muss er dieser mit aller Information in der Anleitung einfügen  der erforderlich sein  um der Käufer oder der Benutzer der Festsetzung der Monat und der Jahr ein angemessen Fälligkeit zu ermöglichen  
abbreviated forms;4;initialism;I Dpi devono essere impiegati quando i rischi non possono essere evitati o sufficientemente ridotti da misure tecniche di prevenzione, da mezzi di protezione collettiva, da misure, metodi o procedimenti di riorganizzazione del lavoro.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- der Dpi müssen verwenden werden  wenn der Risiko nicht durch technisch Präventionsmaßnahme  durch kollektiv Schutzmittel  durch Maßnahme  Methode oder Verfahren zu Reorganisation der Arbeit vermeiden oder ausreichend kürzen werden können  
abbreviated forms;4;initialism;Ogni intervento ha come conseguenza che il Dpi non è più integro e deve essere sostituito.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- jeder Eingriff haben der Folge  dass der Dpi nicht mehr ungefähr sein und ersetzen werden muss  
abbreviated forms;4;initialism;In caso di rischi multipli, che richiedono l’uso simultaneo di più Dpi, questi devono essere tra loro compatibili e tali da mantenere, anche nell’uso simultaneo, la propria efficacia nei confronti del rischio e dei rischi corrispondenti.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- bei Mehrfachrisiko  der der gleichzeitig Verwendung mehrere Dpi erfordern  müssen dieser untereinander vereinbar sein und so erfolgen  dass sie  auch bei gleichzeitig Verwendung  ihr Wirksamkeit gegenüber der Risiko und der entsprechend Risiko erhalten  
abbreviated forms;4;initialism;L’art. 76 definisce i requisiti dei Dpi, i quali devono essere conformi alle norme di cui al regolamento (UE) n. 2016/425.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- Art . 76 legen der Voraussetzung für der DPI fest  der der Bestimmung der Verordnung  EU  Nr. 1024  20125 entsprechen müssen  
abbreviated forms;4;initialism;Se il fabbricante non indica la scadenza nel Dpi, la deve inserire nelle istruzioni con tutte le informazioni necessarie a consentire all'acquirente o all'utilizzatore di determinare il mese e l'anno di scadenza ragionevole.;Dpi;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- wenn der Hersteller in der DPI nicht der Fälligkeit angeben haben  muss er dieser mit aller Information  der erforderlich sein  um der Käufer oder der Benutzer der Festsetzung der Monat und der Jahr ein angemessen Fälligkeit zu ermöglichen  in der Anleitung einfügen  
abbreviated forms;4;initialism;I d.p.i. devono essere impiegati quando i rischi non possono essere evitati o sufficientemente ridotti da misure tecniche di prevenzione, da mezzi di protezione collettiva, da misure, metodi o procedimenti di riorganizzazione del lavoro.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- der Verpflichtung müssen verwenden werden  wenn der Risiko nicht durch technisch Vorbeugungsmaßnahme  durch kollektiv Schutzmittel  durch Maßnahme  Methode oder Verfahren zu Reorganisation der Arbeit vermeiden oder ausreichend kürzen werden können  
abbreviated forms;4;initialism;Ogni intervento ha come conseguenza che il d.p.i. non è più integro e deve essere sostituito.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- jeder Eingriff haben der Folge  dass der D.P.I. nicht mehr ungefährt sein und ersetzen werden muss  
abbreviated forms;4;initialism;In caso di rischi multipli, che richiedono l’uso simultaneo di più d.p.i., questi devono essere tra loro compatibili e tali da mantenere, anche nell’uso simultaneo, la propria efficacia nei confronti del rischio e dei rischi corrispondenti.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- bei Mehrfachrisiko  der ein gleichzeitig Verwendung mehrere D.P.s erfordern  müssen dieser untereinander vereinbar sein und so erfolgen  dass auch bei gleichzeitig Verwendung  der eigen Wirksamkeit gegenüber der Risiko und der entsprechend Risiko erhalten bleiben  
abbreviated forms;4;initialism;L’art. 76 definisce i requisiti dei d.p.i., i quali devono essere conformi alle norme di cui al regolamento (UE) n. 2016/425.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- Art . 76 legen der Voraussetzung für der Einheitsbestimmung fest  der der Bestimmung der Verordnung  EU  Nr. 1024  20125 entsprechen müssen  
abbreviated forms;4;initialism;Se il fabbricante non indica la scadenza nel d.p.i., la deve inserire nelle istruzioni con tutte le informazioni necessarie a consentire all'acquirente o all'utilizzatore di determinare il mese e l'anno di scadenza ragionevole.;d.p.i.;no;PSA;persönliche Schutzausrüstung;Schutzausrüstung;-- wenn der Hersteller der Fälligkeit in Einzelunterlagendeverzeichnis nicht anführen  muss er dieser mit aller Information in der Anweisung einfügen  der erforderlich sein  um der Käufer oder der Benutzer der Festsetzung der Monat und der Jahr ein angemessen Fälligkeit zu ermöglichen  
abbreviated forms;5;initialism;L’elezione o la designazione dell'RLS è sempre obbligatoria ed inoltre deve disporre del tempo, dei mezzi e degli spazi necessari per l’espletamento delle sue attribuzioni.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;-- der Wahl oder der Namhaftmachung der Sicherheitssprecher sein immer verpflichtend und muss über der Zeit  der Mittel und der Raum verfügen  der für der Ausübung sein Aufgabe erforderlich sein  
abbreviated forms;5;initialism;La figura dell'RLS ovvero del Rappresentante dei lavoratori per la sicurezza sul lavoro deve essere un punto di riferimento per tutti i lavoratori.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;der Figur der Sicherheitssprecher bzw. der Vertreter der Arbeitnehmer für Arbeitssicherheit muss ein Bezugspunktstelle für aller Arbeitnehmer sein 
abbreviated forms;5;initialism;L'RLS è una figura che deve essere presente in ogni azienda con almeno un lavoratore.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;-- der Sicherheitssprecher sein ein Figur  der in jeder Betrieb mit mindestens ein Arbeitnehmer anwesend sein muss  
abbreviated forms;5;initialism;In quest'ultimo caso i lavoratori possono comunque decidere di non avvalersi di tali rappresentanze e procedere all'elezione di un RLS svincolato dai sindacati.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;-- in letztgenannt Fall können der Arbeitnehmer jedenfalls entscheiden  sich dieser Vertretung nicht zu bedienen und ein von der Gewerkschaft freigestellt Sicherheitssprecher zu wählen  
abbreviated forms;5;initialism;Il datore di lavoro e i dirigenti hanno l’obbligo di consultare gli RLS sostanzialmente nell’ambito di tutte le scelte in relazione la salute e sicurezza sul lavoro.;RLS;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;-- der Arbeitgeber und der Führungskraft sein verpflichten  der Sicherheitssprecher grundsätzlich in Rahmen aller Arztwahl in Bezug auf Gesundheit und Sicherheit an Arbeitsplatz zu befragen  
abbreviated forms;5;initialism;L’elezione o la designazione dell'R.L.S. è sempre obbligatoria ed inoltre deve disporre del tempo, dei mezzi e degli spazi necessari per l’espletamento delle sue attribuzioni.;R.L.S.;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;-- der Wahl oder der Namhaftmachung der R.G. sein immer verpflichtend und muss über der Zeit  der Mittel und der Raum verfügen  der für der Ausübung ihr Befugnis erforderlich sein  
abbreviated forms;5;initialism;La figura dell'R.L.S. ovvero del Rappresentante dei lavoratori per la sicurezza sul lavoro deve essere un punto di riferimento per tutti i lavoratori.;R.L.S.;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;der Figur der B.V.S. bzw. der Vertreter der Arbeitnehmer für Arbeitssicherheit muss ein Bezugspunkt für aller Arbeitnehmer sein 
abbreviated forms;5;initialism;L'R.L.S. è una figura che deve essere presente in ogni azienda con almeno un lavoratore.;R.L.S.;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;-- der V.A.S. sein ein Figur  der in jeder Betrieb mit mindestens ein Arbeitnehmer anwesend sein müssen  
abbreviated forms;5;initialism;In quest'ultimo caso i lavoratori possono comunque decidere di non avvalersi di tali rappresentanze e procedere all'elezione di un R.L.S. svincolato dai sindacati.;R.L.S.;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;-- in letzter Fall können der Arbeitnehmer jedenfalls entscheiden  dieser Vertretung nicht in Anspruch zu nehmen und ein von der Gewerkschaft freigestellt S.V.W. zu wählen  
abbreviated forms;5;initialism;Il datore di lavoro e i dirigenti hanno l’obbligo di consultare gli R.L.S. sostanzialmente nell’ambito di tutte le scelte in relazione la salute e sicurezza sul lavoro.;R.L.S.;no;Sicherheitssprecher;AVAS, Arbeitnehmervertreter für Sicherheit, Arbeitnehmervertreter für Arbeitsschutz;;-- der Arbeitgeber und der Führungskraft sein verpflichten  der RL in Wesentliche in Rahmen aller Arztwahl in Bezug auf Gesundheit und Sicherheit an Arbeitsplatz zu befragen  
