terms,total
"Gesellschaftsgegenstand, Gesellschaftszweck",21
Pachtzins,12
Teilleistung,4
Beförderung,259
Agenturvertrag,6
Maklervertrag,1
Makler,20
Verwahrer,159
"Einlagerer, Einleger, Hinterleger",27
"KGaA, Kommanditgesellschaft auf Aktien",8
"KGaA, Kommanditgesellschaft auf Aktien",8
Lagerschein,8
"Indossament, Indossierung",44
"Indossament, Indossierung",44
Pfandgläubiger,9
Indossant,12
Entlehner,15
"Gesellschaftsverbindlichkeiten, Verbindlichkeiten der Gesellschaft",22
"Gesellschaftsverbindlichkeiten, Verbindlichkeiten der Gesellschaft",22
Bankvertrag,0
Liquidator,11
Sparbuch,8
Börsenmakler,5
Bankvorschuss,0
"OHG, offene Handelsgesellschaft",7
beglaubigte Unterschrift,5
gesamtschuldnerische Haftung,5
Wettbewerbsverbot,3
Herabsetzung des Kapitals,23
"Eröffnung des Konkurses, Konkurseröffnung",66
Kommanditist,4
grobe Fahrlässigkeit,30
Wegfall des Risikos,2
Versicherter,2
Zusammenlegung,103
Versicherungsagent,0
Mitversicherung,2
Gründungsgesellschafter,6
Amtsblatt für die Aktiengesellschaften und Gesellschaften mit beschränkter Haftung,5
Rücklagen,97
Gesamtrechtsnachfolge,9
"Recht auf Gewinnbeteiligung, Recht auf den Gewinn",3
persönliche Einwendungen,1
abhängige Gesellschaft,4
verbundene Gesellschaft,0
außerordentliche Gesellschafterversammlung,25
Schaden,351
"Abmachung des Eigentumsvorbehaltes, Eigentumsvorbehalt",13
"Annahme der Erbschaft, Erbschaftsannahme",15
"Annahme der Erbschaft, Erbschaftsannahme",15
"Buch der Sitzungsniederschriften und der Beschlüsse, Buch für die Sitzungsniederschriften und Beschlüsse, Buch über die Sitzungen und Beschlüsse, Sitzungs- und Beschlussbuch",12
"Buch der Sitzungsniederschriften und der Beschlüsse, Buch für die Sitzungsniederschriften und Beschlüsse, Buch über die Sitzungen und Beschlüsse, Sitzungs- und Beschlussbuch",12
Masseverwalter,83
"Nichtwählbarkeit, Unwählbarkeit",18
"zur Erbschaft Berufener, zur Erbschaft berufene Person",2
gesetzliche Rücklage,4
"Bücher der Gesellschaft, Gesellschaftsbücher",8
"Gesellschafterbuch, Mitgliederverzeichnis, Mitgliedsbuch",37
"Gesellschafterbuch, Mitgliederverzeichnis, Mitgliedsbuch",37
"Buch für die Schuldverschreibungen, Buch über die Schuldverschreibungen",2
Umdeutung,4
Bilanz,156
Rechnungsbücher,6
Einnahme,70
immaterielles Anlagevermögen,3
"Aufwendungen, Ausgaben, Auslagen, Kosten",7428
"Aufwendungen, Ausgaben, Auslagen, Kosten",7428
"Aufwendungen, Ausgaben, Auslagen, Kosten",7428
"Aufwendungen, Ausgaben, Auslagen, Kosten",7428
Marke,42
Sachanlagevermögen,2
Finanzanlagevermögen,3
"Einkommenssteuer der natürlichen Personen, Einkommensteuer der natürlichen Personen, IRPEF, Steuer auf das Einkommen der natürlichen Personen",22
"Mehrwertsteuer, MwSt.",302
"Mehrwertsteuer, MwSt.",302
"Eigenkapital, Reinvermögen",29
"Eigenkapital, Reinvermögen",29
"Aktiva, Aktivseite, Aktivstand, Aktivvermögen",61
"Aktiva, Aktivseite, Aktivstand, Aktivvermögen",61
"Aktiva, Aktivseite, Aktivstand, Aktivvermögen",61
"Passiva, Passiven, Passivseite, Passivstand",156
"Passiva, Passiven, Passivseite, Passivstand",156
"Scheckbürgschaft, Wechselbürgschaft",2
Gutschrift,19
"Herstellungskosten, Produktionskosten",25
Erbschaftssteuer,3
Mehrwert,13
"Währung, die im Inland gilt, gesetzlicher Kurs, im Inland geltende Währung, inländische Währung",0
"Währung, die im Inland gilt, gesetzlicher Kurs, im Inland geltende Währung, inländische Währung",0
nacktes Eigentum,0
"Erhöhung des Kapitals, Kapitalerhöhung",48
überflüssiges Kapital,0
Umwandlung,334
übernehmende Gesellschaft,4
gerichtlicher Schutz,1
"Vollstreckungsverfahren, Zwangsvollstreckungsverfahren",26
Urlaub,286
gleitende Arbeitszeit,8
Feiertagsarbeit,4
"Besoldung, Gehalt",591
"Beteiligung am Gewinn, Gewinnbeteiligung",24
"Beteiligung am Gewinn, Gewinnbeteiligung",24
"Gehaltsstreifen, Lohnstreifen, Lohntüte",13
"Gehaltsstreifen, Lohnstreifen, Lohntüte",13
"Gehaltsstreifen, Lohnstreifen, Lohntüte",13
"Wählerliste, Wählerverzeichnis",40
"Praktikum, Stage",308
"Abschlussbilanz, Abschlussrechnung, Jahresabrechnung, Jahresabschluss, Jahresabschlussrechnung, Rechnungslegung",712
"Abschlussbilanz, Abschlussrechnung, Jahresabrechnung, Jahresabschluss, Jahresabschlussrechnung, Rechnungslegung",712
Sicherungsbeschlagnahme,3
"Auftragnehmer, Unternehmer, Werkunternehmer",707
"Auftragnehmer, Unternehmer, Werkunternehmer",707
"Auftragnehmer, Unternehmer, Werkunternehmer",707
"Alleinverwalter, alleiniger Verwalter",4
"Geschäfte der ordentlichen Verwaltung, Rechtshandlungen der ordentlichen Verwaltung",4
Mitgliederversammlung,107
"Anvertrauung der Minderjährigen, Fremdunterbringung, Überlassung eines Minderjährigen zur Betreuung",3
"Anvertrauung der Minderjährigen, Fremdunterbringung, Überlassung eines Minderjährigen zur Betreuung",3
Güter,1193
"Lehre, Lehrlingausbildung",108
"Aufsichtsbeschwerde, hierarchischer Rekurs",20
öffentlich-rechtlicher Vertrag,0
Transparenz der Verwaltungstätigkeit,4
Gerichtssprengel,7
"Geschäfte für die Gesellschaft, Handlungen für die Gesellschaft",3
Arbeit,1304
"Eigenschaft als Gesellschafter, Gesellschafterstellung",4
"Eigenschaft als Gesellschafter, Gesellschafterstellung",4
Untauglichkeit,30
abgeleitete Firma,0
Verlust am Gesellschaftskapital,1
Komplementär,4
Ausgabe,832
Beauftragter,68
Einheitsgründung,1
vorläufige Bescheinigung,0
Vertragsfloskel,0
Aufnahme der Beweismittel im Beweissicherungsverfahren,1
"Flucht, fluchtbedingte Unauffindbarkeit",13
stattgebendes Urteil,0
"Sicherungsmaßnahme, Sicherungsmaßnahmen, Sicherungsmaßregel, persönliche Sicherungsmaßnahme, persönliche Sicherungsmaßregel",179
"Sicherungsmaßnahme, Sicherungsmaßnahmen, Sicherungsmaßregel, persönliche Sicherungsmaßnahme, persönliche Sicherungsmaßregel",179
"Sicherungsmaßnahme, Sicherungsmaßnahmen, Sicherungsmaßregel, persönliche Sicherungsmaßnahme, persönliche Sicherungsmaßregel",179
zurechnungsfähig,5
Willensfähigkeit,0
Vormundschaft,53
"Verteidigungseingabe, Verteidigungsschrift",3
"Verteidigungseingabe, Verteidigungsschrift",3
gewerbsmäßiger Verbrecher,0
Hangverbrecher,2
"Gefängnis, Gefängnisstrafe",108
Geldbuße,864
lebenslange Gefängnisstrafe,6
außergerichtliches Geständnis,1
"Ausschluss von öffentlichen Ämtern, Verbot der Ausübung öffentlicher Ämter, Verbot der Bekleidung öffentlicher Ämter",11
"Verwirkung der elterlichen Gewalt, Verwirkung der elterlichen Gewalt über die Kinder",2
"Stiftungsakt, Stiftungsurkunde",6
"Stiftungsakt, Stiftungsurkunde",6
Bestimmung der Strafe,3
"Ausschlussfrist, Fallfrist, Verfallsfrist",232
Schuldindiz,0
"Vollstreckungsgericht, Vollstreckungsrichter",15
"Amtsakte, Gerichtsakte",30
"Amtssachverständiger, Gerichtssachverständiger, Sachverständiger",50
"Amtssachverständiger, Gerichtssachverständiger, Sachverständiger",50
Miteigentümer,104
Erbgemeinschaft,1
"Beförderung, Beförderungsvertrag",267
Autonomie,232
"Delegierung, Delegierung von Befugnissen",53
Richtlinie,420
"Angestellter des öffentlichen Dienstes, Angestellter im öffentlichen Dienst, öffentlicher Angestellter",0
"Angestellter des öffentlichen Dienstes, Angestellter im öffentlichen Dienst, öffentlicher Angestellter",0
"Verwaltungsbeschwerde, Verwaltungsrekurs",12
"Verwaltungsbeschwerde, Verwaltungsrekurs",12
Hilfeleistung,24
"Ermittlungsphase, Ermittlungsverfahren, Sachverhaltsermittlung",49
"Ermittlungsphase, Ermittlungsverfahren, Sachverhaltsermittlung",49
"Ermittlungsphase, Ermittlungsverfahren, Sachverhaltsermittlung",49
"im Einvernehmen, unter Mitwirkung",684
"Inhaber des Überbaurechts, Überbauberechtigter",0
"Inhaber des Überbaurechts, Überbauberechtigter",0
"UVS, Umweltverträglichkeitsstudie",23
Meldepflicht,18
Ehegütervertrag,1
Vertraulichkeit,39
Wandelschuldverschreibung,0
"Aktiva der Erbschaft, Aktiva des Nachlasses, Aktivastand der Erbschaft",0
Personalausweis,16
Abänderungsantrag,3
"Gesetzgebungsperiode, Legislatur, Legislaturperiode",129
"Gesetzgebungsperiode, Legislatur, Legislaturperiode",129
"Gesetzgebungsperiode, Legislatur, Legislaturperiode",129
"Bescheinigung über die Erbnachfolge, Erbschein",13
"Bescheinigung über die Erbnachfolge, Erbschein",13
"Gesetzentwurf, Gesetzesvorschlag",130
"Gesetzentwurf, Gesetzesvorschlag",130
Zwangsvollstreckung,35
"Bilanzgesetz, Haushaltsgesetz",24
"Bilanzgesetz, Haushaltsgesetz",24
"nichtiger Stimmzettel, ungültiger Stimmzettel",0
"Geheimhaltung der Stimme, Geheimhaltung der Wahl, Wahlgeheimnis, geheime Stimmabgabe",15
"Geheimhaltung der Stimme, Geheimhaltung der Wahl, Wahlgeheimnis, geheime Stimmabgabe",15
"Geheimhaltung der Stimme, Geheimhaltung der Wahl, Wahlgeheimnis, geheime Stimmabgabe",15
"Geheimhaltung der Stimme, Geheimhaltung der Wahl, Wahlgeheimnis, geheime Stimmabgabe",15
"Auszug aus der Katastermappe, Katasterplanauszug",2
Heiratsurkunde,16
"Blutschande, Inzest",3
"Eheband, eheliche Bindung",2
"Eheband, eheliche Bindung",2
"Witwenschaft, Witwenstand, Witwerstand",0
minderjähriges Kind,3
"eheähnliche Beziehung, eheähnliche Lebensgemeinschaft, nichteheliche Lebensgemeinschaft",0
abschreibungsfähiges Gut,0
Verfassungsmäßigkeit,23
zinslos,2
Prüfungsgesellschaft,8
"Ermächtigung, Verwaltungsbewilligung, Verwaltungsermächtigung, Verwaltungsgenehmigung, behördliche Erlaubnis",1403
"Ermächtigung, Verwaltungsbewilligung, Verwaltungsermächtigung, Verwaltungsgenehmigung, behördliche Erlaubnis",1403
"Ermächtigung, Verwaltungsbewilligung, Verwaltungsermächtigung, Verwaltungsgenehmigung, behördliche Erlaubnis",1403
Trennung der Rechtsstreitigkeiten,0
Übernahme,352
Unabhängigkeit des Richters,0
"Spruchkörper, richterlicher Senat",1
"de facto-Gesellschaft, faktische Gesellschaft",2
staatliches Monopol,0
Wertpapiergesellschaft,0
"gesetzlicher Richter, ordentlicher, durch Gesetz vorbestimmter Richter",0
Zwangsveräußerung,52
Personengesellschaft,7
"Aufnahme, Übernahme",1553
"Aufnahme, Übernahme",1553
faktischer Verwalter,0
"Bericht über die Schätzung des Gesellschaftsvermögens, Schätzungsbericht",3
Spaltungsplan,3
"Missbrauch der Amtsgewalt, Missbrauch einer Gewaltbefugnis",0
Täter,4
straflose Vortat,0
Unterschlagung,9
"Vereinigung, kriminelle Vereinigung",249
mafiaartige Vereinigung,0
Gehilfe,8
"Selbstbezichtigung, falsche Selbstanschuldigung",0
Mittäter,0
betrügerischer Bankrott,1
Bankrott,4
geschütztes Rechtsgut,0
"Gerichtskanzlei, Kanzlei",175
"Gerichtskanzlei, Kanzlei",175
Einsichtsfähigkeit,0
kumulative Kausalität,0
hypothetische Kausalität,0
Kausalzusammenhang,3
erschwerender Umstand,1
Gleichwertigkeitsklausel,0
Scheinkonkurrenz,0
"gleichartige Idealkonkurrenz, gleichartige Tateinheit",0
"Idealkonkurrenz, Tateinheit",6
"Idealkonkurrenz, Tateinheit",6
ungleichartige Tatmehrheit,0
gleichartige Tatmehrheit,0
Tatmehrheit,0
Gegenüberstellung,16
Gewährenlassen,0
Antragsdelikt,0
fahrlässiges Verbrechen,0
"Versuch des Verbrechens, versuchte Straftat, versuchte strafbare Handlung, versuchtes Verbrechen",0
"Versuch des Verbrechens, versuchte Straftat, versuchte strafbare Handlung, versuchtes Verbrechen",0
"Versuch des Verbrechens, versuchte Straftat, versuchte strafbare Handlung, versuchtes Verbrechen",0
Erklärung,1517
direkte Vernehmung,2
Konkursgläubiger,0
"Falschbeurkundung, mittelbare Falschbeurkundung",0
"Falschbeurkundung, mittelbare Falschbeurkundung",0
objektiver Tatbestand,0
"Diebstahl zum kurzfristigen Gebrauch, Gebrauchsdiebstahl",0
"Einstandspflicht, Garantenpflicht",0
erkennendes Gericht,0
Tatsacheninstanz,0
Gericht erster Instanz,5
Richter für die Vorerhebungen,12
Begnadigung,3
Unkenntnis des Strafgesetzes,0
Unvorsichtigkeit,6
untauglich,13
"ausdehnende Auslegung, erweiternde Interpretation, extensive Interpretation",0
"wörtliche Auslegung, wörtliche Interpretation",0
"Ausschluss der Rückwirkung, Rückwirkungsverbot",0
"Anstiftung, Aufforderung",435
"Anstiftung, Aufforderung",435
erlaubt,508
"gesetzesmäßig, gesetzlich, gesetzmäßig",415
"gesetzesmäßig, gesetzlich, gesetzmäßig",415
"gesetzesmäßig, gesetzlich, gesetzmäßig",415
milderes Gesetz,0
rechtmäßig,108
bedingte Entlassung,2
Maßnahme,1216
Beweggrund,13
"Angriff, Verletzung",315
"Angriff, Verletzung",315
"Körperverletzung mit Todesfolge, präterintentionale Tötung",0
unterlassene Hilfeleistung,0
"Gesellschaftsorgan, Organ der Gesellschaft",0
Amtsunterschlagung,6
"Strafrahmen, angedrohte Strafe",3
"bedingte Aussetzung der Strafe, bedingte Strafaussetzung",1
"bedingte Aussetzung der Strafe, bedingte Strafaussetzung",1
Reue,1
Vorbedacht,0
Unschuldsvermutung,0
Grundsatz der Unmittelbarkeit,0
Grundsatz der Erforschung der materiellen Wahrheit,0
Bestimmtheitsgrundsatz,2
Grundsatz der Öffentlichkeit,0
Grundsatz,133
Provokation,0
unechtes Unterlassungsdelikt,0
Begehungsdelikt,0
Allgemeindelikt,0
Erfolgsdelikt,0
vollendete strafbare Handlung,0
fortgesetzte strafbare Handlung,4
"Handlungsgegenstand, Tatobjekt",0
tätige Reue,0
Rückfälliger,0
Diebesgut,0
Schlägerei,0
Freiheitsberaubung,0
System der Zweispurigkeit,0
Aufenthaltsgebot,0
Aufenthalt,184
Unterordnung,6
beendeter Versuch,0
fehlgeschlagener Versuch,0
unbeendeter Versuch,0
Versuchsstadium,0
"Bedingungstheorie, Äquivalenztheorie",0
"Bedingungstheorie, Äquivalenztheorie",0
Tatbestandsmäßigkeit,0
Wucher,1
"Beschimpfung, Herabwürdigung",2
Recycling,8
Arbeitslosengeld,9
Fähigkeit zur Adoption,1
an der Börse notierte Aktie,0
Fund,6
Amtsmissbrauch,1
Amtsanmaßung,0
gutgläubiger Besitzer,2
Sicherungsverfahren,14
"Vernichtung, Zerstörung",102
"Vernichtung, Zerstörung",102
Stillschweigen,19
Selbstbehalt,1
Widerruf,749
Führerschein,214
Wiedergutmachung wegen ungerechtfertigter Haft,2
Konsensquorum,0
"Bücher, Rechnungsunterlagen",213
"Bücher, Rechnungsunterlagen",213
subjektiver Tatbestand,0
Einlassung der Zivilpartei,10
Leiharbeit,4
"Leiharbeiter, Leihkraft",2
Vorzugsrecht,108
vereinfachte Buchführung,2
doppelte Buchführung,0
Frachtgeld,0
Einzelunternehmer,15
zusammengesetzte strafbare Handlung,0
Konkurseröffnungsurteil,7
Wahlbefugnis,5
"Kollektivverhandlungen, Kollektivvertragsverhandlungen",56
"Kollektivverhandlungen, Kollektivvertragsverhandlungen",56
Überstundenarbeit,9
Gesamtrechtsnachfolger,1
Erbschaftsvermögen,1
Vermächtnis einer bestimmten Sache,0
Telearbeit,19
"Banküberweisung, Überweisung",104
"unterhaltsberechtigtes Familienmitglied, zu Lasten lebender Familienangehöriger",3
Liquidation der Gesellschaft,2
Redlichkeit,6
"Erfüllungsort, Ort der Erfüllung",2
"Erfüllungsort, Ort der Erfüllung",2
Erfüllungszeit,1
"Wohnrecht, Wohnungsrecht",32
"Wohnrecht, Wohnungsrecht",32
anerkannter Verein,2
Gewerkschaftsfreiheit,4
formpflichtiges Rechtsgeschäft,0
formfreies Rechtsgeschäft,0
Rechtsverhältnis,23
"Stellvertreter, Vertreter",1743
höchstpersönliches Rechtsgeschäft,0
Unerlaubtheit,6
Verschmelzung durch Aufnahme,4
Vertreter ohne Vertretungsmacht,1
übernehmende Gesellschaft,4
"Durchfahrtsrecht, Durchgangsrecht, Wegerecht",9
aus der Verschmelzung hervorgehende Gesellschaft,2
Rechtserwerb,0
"Beschluss zur Umwandlung, Umwandlungsbeschluss",2
Haftung der Gesellschafter,2
Vertragszinsen,0
Zahlungsanweisung,21
Gesamtvertretung,0
Holding,0
"Exekutive, Vollzugsgewalt",9
Zahlungsfähigkeit,9
"Obligation, Schuldverschreibung",3
"Obligation, Schuldverschreibung",3
noch nicht eingelöste Aktie,0
Großaktionär,0
Einigung der Parteien,4
Finanzholding,0
Formpflicht ad probationem,0
Bedingung,341
Kausalbedingung,0
Arglist,34
"Endtermin, letzter Tag",12
Bar- oder Sacheinlagen,0
Anteilschein,0
Nichtigkeit,229
"Maßnahme, Verwaltungsbescheid, Verwaltungsmaßnahme",1299
"abschließende Maßnahme, abschließende Verwaltungsmaßnahme, abschließender Verwaltungsakt, endgültige Maßnahme",42
Verwaltungsrechte,5
gesetzlicher Zinssatz,0
"Rechtssubjekt, Rechtsträger",280
