Tiny Aya Global,GPT OSS 20B,UvA-MT,Qingqiu-MT-9B,Dubformer,DeepSeek V4 Pro,CUNI-EdUKate,Qwen 3.6 - 27b,Gemini 3.1 Pro,Ministral 3 - 14B,GoogleTranslate,Tower 9B,Mistral Medium 3.5,Command A+,Cohere CAT+,GPT OSS 120B,Qwen 3.5 - 9b,Gemma 4 - 4B,CUNI-MH-v3,TRIVE,SalamandraTA,GPT 5.5,Gemma 4 - 31B,GLM 4 - 9B
[],['Selbsterklärung'],[],['Selbsterklärung'],[],[],[],['eigenverantwortlich Erklärung'],[],['Eigenbescheinigung'],['Selbsterklärung'],['Selbsterklärung'],['Selbsterklärung'],['Selbsterklärung'],['Selbsterklärung'],['Selbsterklärung'],['Selbstbescheinigung'],['Selbsterklärung'],['Selbsterklärung'],[],['Selbstbescheinigung'],[],['eigenverantwortlich Erklärung'],[]
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],['vorbereitend Dienststellenkonferenz'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['vorbereitend Dienststellenkonferenz'],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],['Gemeinde'],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],"['Gesetz', 'Rechtsverordnung']",[],"['Gesetz', 'Rechtsverordnung']",[],[],[],[],[],[],[],[],[],[],[],"['Gesetz', 'Rechtsverordnung']",[],[],[],[],[],[],[],['Gesetz']
[],[],[],['Reservefonds für unvorhergesehene Ausgaben'],[],[],[],[],[],[],[],[],[],['Reservefonds für unvorhergesehene Ausgaben'],['Reservefonds für unvorhergesehene Ausgaben'],[],[],[],[],[],[],[],[],[]
[],['systematische Interpretation'],[],['systematische Interpretation'],[],[],['systematische Interpretation'],[],[],['systematische Interpretation'],['systematische Interpretation'],[],[],[],[],[],[],['systematische Auslegung'],[],[],['systematische Auslegung'],[],[],['systematische Interpretation']
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],['Betriebszuschuss'],[],[],[],[],[],[],[],[],[],[],['Betriebszuschuss'],['Investitionsbeitrag'],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],['Investitionsbeitrag'],[],['Investitionsbeitrag'],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],['Recht auf Zugang zu den Verwaltungsunterlagen'],[],[],[],[],[],[],[],['Recht auf Zugang zu den Verwaltungsunterlagen'],['Recht auf Zugang zu den Verwaltungsunterlagen'],[],['Zugangsrecht zu den Verwaltungsunterlagen'],[],[],[],[],[],[],['Zugangsrecht zu den Verwaltungsunterlagen'],[]
[],['Zugangsrecht zu den Verwaltungsunterlagen'],[],['Zugangsrecht zu den Verwaltungsunterlagen'],['Zugangsrecht zu den Verwaltungsunterlagen'],['Recht auf Zugang zu den Verwaltungsunterlagen'],[],['Zugangsrecht zu den Verwaltungsunterlagen'],[],[],[],[],['Recht auf Zugang zu den Verwaltungsunterlagen'],['Zugangsrecht zu den Verwaltungsunterlagen'],['Recht auf Zugang zu den Verwaltungsunterlagen'],[],['Zugangsrecht zu den Verwaltungsunterlagen'],['Recht auf Zugang zu den Verwaltungsunterlagen'],[],[],[],['Recht auf Zugang zu den Verwaltungsunterlagen'],['Recht auf Zugang zu den Verwaltungsunterlagen'],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],['nicht einmalig Original'],[],[],[],[],[],[],[],[],[],[],[],[],['nicht einmalig Original'],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Investitionsbeitrag'],[],[],[]
[],[],[],[],['betrieblich Gewerkschaftsvertretung'],[],[],['einheitlich Gewerkschaftsvertretung'],[],['betriebliche Gewerkschaftsvertretung'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
['gebundener Verwaltungsakt'],"['rechtlich gebundener Verwaltungsakt', 'gebundener Verwaltungsakt']",['gebunden Verwaltungsakt'],['gebundener Verwaltungsakt'],['gebundener Verwaltungsakt'],['gebundener Verwaltungsakt'],[],['gebundener Verwaltungsakt'],['gebundener Verwaltungsakt'],"['rechtlich gebunden Verwaltungsakt', 'gebunden Verwaltungsakt']",[],"['rechtlich gebundener Verwaltungsakt', 'gebundener Verwaltungsakt']",['gebundener Verwaltungsakt'],[],['gebundener Verwaltungsakt'],"['rechtlich gebundener Verwaltungsakt', 'gebundener Verwaltungsakt']",['gebundener Verwaltungsakt'],['gebundener Verwaltungsakt'],[],['gebundener Verwaltungsakt'],['gebundener Verwaltungsakt'],['gebundener Verwaltungsakt'],['gebunden Verwaltungsakt'],['gebundener Verwaltungsakt']
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],['verwaltungsgerichtlich Nebenrechnungslegung'],[],[],[],[],[],[],[],[],[],[],[],[],['verwaltungsgerichtlich Nebenrechnungslegung'],['verwaltungsgerichtliche Hauptrechnungslegung'],[],[],['verwaltungsgerichtliche Nebenrechnungslegung'],[],[],[]
[],[],[],['restriktive Auslegung'],[],[],[],[],[],[],[],['restriktive Auslegung'],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],['Theorieprüfung'],[],['theoretisch Prüfung'],[],[],[],[],[],[],[],[],[],[],['theoretische Prüfung'],[],['Theorieprüfung'],[],[],[],['theoretische Prüfung'],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],['ampelgeregelter Fußgängerüberweg'],[],[],[],[],[],['ampelgeregelter Fußgängerüberweg'],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
['Fahrbahn'],[],['Fahrbahn'],['Fahrbahn'],['Fahrbahn'],[],['Fahrbahn'],[],[],['Fahrbahn'],[],[],[],[],['Fahrbahn'],['Fahrbahn'],[],[],['Fahrbahn'],[],['Fahrbahn'],[],['Fahrbahn'],[]
[],[],['akkreditiert Zertifizierungsdiensteanbieter'],['akkreditiert Zertifizierungsdiensteanbieter'],[],[],[],[],[],[],[],[],[],[],['akkreditiert Zertifizierungsdiensteanbieter'],[],['akkreditiert Zertifizierungsdiensteanbieter'],['akkreditiert Zertifizierungsdiensteanbieter'],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],"['Verkehrszeichen', 'Verkehrszeichen']",[],[],"['Verkehrszeichen', 'Verkehrszeichen']",['Verkehrszeichen'],[],['Verkehrszeichen'],[],"['Verkehrszeichen', 'Verkehrszeichen']",[],[],[],"['Verkehrszeichen', 'Verkehrszeichen']",[],"['Verkehrszeichen', 'Verkehrszeichen']",[],[],[],[],['Verkehrszeichen'],['Verkehrszeichen'],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['zweitrangig Freilandstraße'],['zweitrangig Freilandstraße'],[],[],['zweitrangig Freilandstraße'],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],['Amtsblatt der Region'],[],['Amtsblatt der Region'],['Amtsblatt der Region'],['Amtsblatt der Region'],['Amtsblatt der Region'],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],['Sache'],['Sache'],[],"['Sache', 'Sache']","['Sache', 'Sache']",['Gut'],['Sache'],"['Sache', 'Sache']",['Sache'],[],['Sache'],['Sache'],"['Sache', 'Sache']",[],[],"['Sache', 'Sache']",[],[],"['Sache', 'Sache']",['Sache'],"['Sache', 'Sache']",[],['Sache']
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],['Teil'],[],[],[],[],['Teil'],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],"['gerichtlich Verfügung', 'Verfügung']",[],['Verfügung'],[],[],[],['Verfügung'],[],['Verwaltungsverfügung'],[],['Verfügung'],['Verfügung'],['Verfügung'],[],[],['Verfügung'],['Verfügung'],[],[],[],[],[],[]
[],['Amtsträger'],[],"['Amtsträger', 'Amtsträger']",[],[],[],['Amtsträger'],[],[],"['Amtsträger', 'Amtsträger']",['Amtsträger'],['Amtsträger'],[],"['Amtsträger', 'Amtsträger']",['Amtsträger'],['Amtsträger'],[],[],[],"['Amtsträger', 'Amtsträger']",[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],['Abfallverwertung'],[],['Abfallbeseitigung'],[],[],[],[],[],['Abfallbeseitigung'],[],[],[],[],[],[],[],['Abfallverwertung'],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],['Fachoberschule für der technologisch Bereich'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],['Titel'],[],[],[],[],[],[],['Titel'],[],['Titel'],[],[],[],[],[],[],['Titel'],[],[],[],[],[],[]
[],[],['Landesethikkomitee'],[],[],['Landesethikkomitee'],[],[],[],['Landesethikkomitee'],[],[],[],['Landesethikkomitee'],[],['Landesethikkomitee'],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],['Agentur der Einnahme'],[],[],[],[],[],[],[],[],[],['Agentur der Einnahme'],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Staatsschule'],['Staatsschule'],[],[],[],[],[],[],[],[]
[],[],[],"['nicht gleichgestellt Schule', 'gleichgestellt Schule', 'nicht gleichgestellt Schule', 'gleichgestellt Schule']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['gleichgestellt Schule'],['gleichgestellt Schule'],[]
,,,,,,,,,,,,,,,,,,,,,,,
[],[],['den Regionen und den autonomen Provinzen Trient und Bozen'],['den Regionen und den autonomen Provinzen Trient und Bozen'],[],['den Regionen und den autonomen Provinzen Trient und Bozen'],[],[],[],['den Regionen und den autonomen Provinzen Trient und Bozen'],[],[],['den Regionen und den autonomen Provinzen Trient und Bozen'],['Konferenz Staat-Städte und lokale Autonomien'],['den Regionen und den autonomen Provinzen Trient und Bozen'],[],['den Regionen und den autonomen Provinzen Trient und Bozen'],['den Regionen und den autonomen Provinzen Trient und Bozen'],[],[],[],[],['den Regionen und den autonomen Provinzen Trient und Bozen'],['Konferenz Staat-Städte und lokale Autonomien']
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Motorwagen', 'Motorwagen']",[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Antimafia-Mitteilung'],[],[],[],[],[],['Antimafia-Information'],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],['Antimafia-Mitteilung'],[],[],[],[],[],[],[],[],['Antimafia-Information'],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],['Landesagentur für Umwelt'],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['präventive Konservierung'],[],[],[],['präventive Konservierung'],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],['Bereitstellung öffentlich zugänglicher Kommunikationsdienste'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],['Haarnetz'],[],['Haarnetz'],[],[],[],[],[],[],[],[],[],['Haarnetz'],[],['Haarnetz'],[],['Haarnetz'],[],[],['Haarnetz'],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],['Störlichtbogen'],[],[],[],['Störlichtbogen'],[],[],[],[],[],[],['Störlichtbogen'],[],['Störlichtbogen'],[],['Störlichtbogen']
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
[],['Halteseil'],[],[],[],['Halteseil'],[],[],[],[],[],[],[],['Positionierungsseil'],[],['Halteseil'],[],[],[],[],[],[],[],[]
[],['Warnweste'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],['verpflichtende Ausbildung'],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],"['Schutzmaßnahme', 'Schutzmaßnahme']","['Schutzmaßnahme', 'Schutzmaßnahme']",[],[],[],[],[],[],"['Schutzmaßnahme', 'Schutzmaßnahme']",[],[],"['Schutzmaßnahme', 'Schutzmaßnahme']",[],[],[],[]
[],[],['Schutzmassnahme'],['Schutzmassnahme'],[],['Schutzmassnahme'],[],[],['Schutzmassnahme'],[],[],['Schutzmassnahme'],['Schutzmassnahme'],[],['Schutzmassnahme'],['Schutzmassnahme'],['Schutzmassnahme'],['Schutzmassnahme'],[],['Schutzmassnahme'],['Schutzmassnahme'],[],['Schutzmassnahme'],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],['Vorsorgeuntersuchung vor der Einstellung'],[],[],['Vorsorgeuntersuchung vor der Einstellung'],[],[],[],[],[],[],[],[],[],[],[],['Vorsorgeuntersuchung vor der Einstellung'],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
['Gefahrenpiktogramm'],['Gefahrenpiktogramm'],['Gefahrenpiktogramm'],['Gefahrenpiktogramm'],['Gefahrenpiktogramm'],[],[],['Gefahrenpiktogramm'],[],[],[],['Gefahrenpiktogramm'],['Gefahrenpiktogramm'],[],[],['Gefahrenpiktogramm'],['Gefahrenpiktogramm'],['Gefahrenpiktogramm'],[],[],['Gefahrenpiktogramm'],[],['Gefahrenpiktogramm'],[]
