CUNI-EdUKate	CUNI-MH-v3	Cohere CAT+	Command A+	DeepSeek V4 Pro	Dubformer	GLM 4 - 9B	GPT 5.5	GPT OSS 120B	GPT OSS 20B	Gemini 3.1 Pro	Gemma 4 - 31B	Gemma 4 - 4B	GoogleTranslate	Ministral 3 - 14B	Mistral Medium 3.5	Qingqiu-MT-9B	Qwen 3.5 - 9b	Qwen 3.6 - 27b	SalamandraTA	TRIVE	Tiny Aya Global	Tower 9B	UvA-MT
28.67	47.98	60.3	41.22	60.3	49.72	42.06	49.72	39.98	41.55	45.85	39.98	42.06	47.92	52.21	49.72	17.78	39.19	51.05	30.08	27.23	66.81	52.21	49.72
14.48	33.57	34.54	42.66	39.65	43.94	17.51	51.31	26.77	16.17	51.31	31.28	18.93	33.57	15.98	46.84	12.96	13.6	11.21	16.13	51.31	30.7	39.65	51.31
41.31	38.57	53.35	21.39	41.23	51.08	50.65	55.85	48.39	36.31	55.85	38.94	58.16	49.99	50.94	55.13	53.35	35.89	55.98	56.1	73.08	29.89	38.63	55.42
14.58	9.55	22.0	18.92	25.38	37.93	18.89	87.87	16.64	18.81	83.96	30.62	6.98	30.49	26.49	35.31	37.35	10.37	26.87	21.34	73.46	2.43	40.02	46.01
24.78	6.02	15.15	12.54	17.69	16.09	8.19	31.12	10.84	14.81	35.46	12.91	13.23	12.64	9.98	22.87	10.14	9.2	9.75	9.13	19.55	9.37	16.65	15.46
9.08	10.16	44.22	23.6	38.64	48.9	18.69	73.76	22.01	10.16	66.89	26.07	10.83	17.35	7.02	35.6	11.99	25.48	25.79	29.1	60.31	7.03	11.54	60.31
34.69	34.67	34.06	27.92	24.7	41.04	23.57	31.3	51.61	35.97	37.14	44.73	38.57	16.09	28.95	34.45	35.99	50.24	38.8	28.65	33.57	24.66	21.62	33.9
23.73	27.34	47.98	55.77	49.47	63.59	22.59	47.4	30.4	20.79	54.11	46.48	29.33	27.81	24.49	23.61	38.54	24.03	43.97	26.0	64.19	35.98	40.07	61.76
5.7	16.02	18.56	9.39	10.82	6.61	5.11	18.88	6.33	5.38	21.8	32.6	21.8	38.57	17.77	6.61	13.47	13.71	9.64	6.65	18.56	4.09	11.01	9.23
7.23	7.66	12.29	5.34	6.15	45.37	4.53	18.93	3.62	3.81	44.89	12.29	7.09	4.42	8.64	14.75	3.83	5.52	14.04	5.24	25.84	4.42	18.19	12.02
10.11	57.28	90.65	56.42	90.65	76.15	17.32	90.65	62.01	54.68	90.65	64.87	84.92	44.3	51.92	85.19	54.85	9.14	72.32	54.4	90.65	36.66	84.92	90.65
16.64	30.09	44.5	20.33	64.2	30.09	27.57	29.64	51.74	26.66	48.18	29.64	23.83	31.01	23.89	48.18	30.09	26.66	30.09	35.39	51.74	43.56	46.03	51.74
45.51	29.62	19.67	33.85	38.42	24.61	57.71	17.9	47.69	54.4	21.86	39.67	39.22	26.76	29.92	41.55	36.91	18.99	33.93	39.28	19.34	50.62	35.86	20.42
50.61	50.21	36.12	48.03	81.06	40.76	77.92	81.06	77.92	79.17	70.1	62.57	77.92	34.93	8.46	65.64	54.78	9.95	51.32	22.6	81.06	33.96	80.66	81.06
23.98	28.52	20.06	45.79	40.85	49.59	34.44	49.65	34.64	36.43	36.33	13.81	25.53	6.51	6.04	26.61	9.63	39.89	36.31	38.79	40.91	31.69	43.41	35.68
16.2	29.55	16.22	25.55	23.59	16.32	50.09	26.89	37.42	31.57	47.82	25.45	43.72	15.82	24.18	47.82	42.69	20.17	54.21	13.91	47.82	44.68	49.89	35.56
15.37	38.29	47.79	64.57	73.29	43.64	18.09	39.88	65.38	14.42	34.92	39.88	9.2	34.85	17.47	56.18	65.23	45.87	39.11	49.87	48.15	37.64	77.49	48.15
35.79	49.76	42.12	38.1	39.32	66.48	29.44	61.02	20.38	32.85	55.91	40.96	45.37	2.69	31.9	48.36	46.09	35.22	39.58	49.59	59.37	38.04	37.08	61.43
16.44	47.72	71.89	48.59	84.28	53.82	29.26	68.88	47.63	41.18	84.28	43.11	47.37	13.64	36.99	44.22	34.75	42.94	33.75	49.89	78.09	50.09	50.09	17.38
26.03	21.55	37.56	20.87	34.11	37.78	18.03	34.86	20.62	6.6	43.02	24.73	23.84	25.73	22.02	28.3	28.02	21.78	10.31	33.8	33.46	23.23	31.68	39.3
20.95	25.97	26.36	6.28	34.76	36.47	22.57	41.14	12.31	12.1	24.27	22.93	16.26	19.62	39.35	20.13	21.69	10.54	21.09	22.18	32.99	20.34	26.41	45.21
12.17	21.16	16.54	15.91	13.55	13.55	5.71	16.54	13.33	4.09	23.11	16.01	9.94	6.66	11.72	13.55	20.33	16.64	18.23	8.59	17.24	13.8	10.45	14.71
21.01	58.24	54.4	51.36	60.73	76.36	47.75	54.85	42.07	37.4	50.34	49.1	38.35	45.9	46.46	59.28	52.67	39.74	49.1	35.25	66.11	1.43	62.51	84.67
23.61	31.18	12.41	7.99	40.86	27.03	9.41	27.04	11.13	21.22	32.67	23.6	16.73	30.91	2.91	14.38	12.14	21.08	10.19	18.44	42.4	23.61	32.47	30.78
4.45	5.54	32.77	28.31	30.6	28.31	25.38	62.47	8.42	27.88	36.31	15.82	25.64	6.2	7.08	14.3	5.59	7.61	14.97	29.11	51.47	29.11	12.64	46.21
14.6	6.44	18.59	17.48	26.86	15.35	3.81	23.67	3.84	11.5	25.1	16.45	8.47	4.22	11.34	16.81	9.9	6.63	5.75	15.0	32.78	4.8	11.07	22.75
30.66	11.62	12.48	31.83	46.23	58.45	4.45	60.55	35.61	11.47	69.67	76.31	55.75	38.35	26.92	52.64	54.04	25.01	41.23	17.85	78.34	24.13	37.91	52.42
34.67	12.26	48.09	49.88	64.65	48.82	11.31	65.86	40.62	21.18	80.63	75.91	38.28	12.58	10.99	59.49	54.64	35.05	26.63	65.86	65.86	16.74	50.21	75.91
40.94	25.47	22.42	19.23	72.54	58.16	37.89	69.9	27.61	29.58	82.66	76.03	50.76	18.83	33.25	48.88	36.93	29.67	40.94	54.18	82.66	36.15	49.61	33.03
32.16	39.17	39.88	66.37	56.72	60.61	18.01	73.38	26.49	29.93	75.19	60.07	53.4	21.85	19.31	41.55	41.9	30.1	8.23	22.54	42.99	4.51	36.83	8.64
36.31	54.76	54.6	62.57	73.32	69.61	19.29	81.96	65.37	48.22	64.14	65.37	62.7	52.05	66.91	81.96	68.8	51.19	75.06	62.3	81.96	45.25	52.61	61.71
31.98	41.76	35.43	10.82	24.66	33.64	30.55	69.99	10.36	10.18	47.59	45.31	38.97	15.26	51.81	33.5	29.34	17.97	11.96	45.18	21.68	37.2	52.19	18.27
23.28	18.57	26.24	7.43	52.62	37.63	20.8	67.74	23.39	9.76	67.74	31.24	14.23	9.56	41.38	52.62	11.0	9.97	9.85	15.14	37.63	13.35	19.91	52.62
56.5	58.21	39.62	49.38	61.58	66.63	61.55	66.63	52.17	73.92	57.32	61.58	61.58	14.53	25.55	57.32	44.27	46.96	52.17	61.58	57.32	41.04	44.36	52.17
32.16	12.37	28.58	17.81	24.55	16.42	9.06	39.39	15.05	8.37	39.46	16.83	8.59	9.94	7.38	28.97	13.44	39.77	33.87	57.19	37.33	12.81	15.47	37.32
15.67	12.99	15.64	18.53	30.17	13.62	35.42	30.67	26.03	10.53	26.89	19.65	19.59	8.19	29.11	30.82	19.62	18.24	29.71	10.29	13.62	16.48	19.32	13.62
7.99	7.44	10.52	10.52	10.52	12.04	27.15	61.28	5.65	5.09	51.18	10.52	7.44	7.44	7.93	12.04	4.33	15.77	4.78	7.44	51.18	2.58	6.02	10.52
7.1	7.0	11.47	11.92	27.22	27.48	15.06	57.25	14.41	10.96	46.6	13.42	16.04	13.81	14.06	21.42	8.94	9.23	13.63	10.42	57.25	10.03	9.97	53.64
35.04	30.72	39.52	24.86	58.67	68.2	54.69	42.57	34.76	29.0	54.48	39.51	32.59	19.82	24.5	24.48	24.15	28.5	26.99	57.68	33.47	45.31	32.49	30.14
20.36	18.83	20.5	19.91	29.52	30.31	16.18	48.37	19.97	29.62	48.37	24.33	26.81	36.06	30.27	46.45	15.74	28.43	27.32	12.83	39.32	13.93	21.11	39.32
45.83	38.49	46.79	40.55	43.23	54.94	40.55	60.67	39.43	37.44	60.67	42.47	32.06	34.68	40.51	44.16	46.51	39.81	46.22	46.66	60.67	44.91	45.12	38.41
23.58	38.09	35.98	35.59	56.15	45.81	27.79	41.96	55.99	29.7	52.01	65.11	31.38	44.82	27.12	43.06	36.49	29.79	31.27	48.71	36.54	27.82	54.95	38.56
40.49	50.33	58.18	57.25	61.2	55.63	31.42	69.3	44.36	32.69	75.97	48.16	48.62	40.49	41.91	57.25	47.25	33.04	38.6	75.91	67.61	28.92	39.58	43.11
7.41	4.1	7.41	34.69	34.69	7.84	7.35	15.86	15.26	7.41	15.91	7.84	10.79	7.41	6.44	15.26	9.32	7.84	7.84	7.84	15.86	3.22	24.18	15.26
11.37	13.99	39.62	26.66	51.21	48.55	10.99	47.13	22.87	12.42	51.21	30.27	31.83	27.33	1.39	39.62	25.41	19.92	31.83	43.04	40.51	8.69	34.33	57.41
50.55	26.33	53.35	48.11	56.12	53.76	44.9	55.46	34.17	36.88	55.46	58.88	47.12	33.2	40.97	62.16	45.98	33.08	65.76	70.3	50.73	39.19	42.67	64.73
13.96	48.85	76.09	48.91	57.16	70.93	54.3	60.11	37.12	43.18	64.51	52.16	32.88	36.34	48.73	70.64	61.51	51.42	76.09	51.02	70.93	49.75	63.23	84.67
20.89	23.78	19.9	29.6	29.64	25.18	26.56	32.97	20.04	14.57	37.78	24.67	17.9	30.03	17.92	26.17	26.56	17.47	32.7	17.75	34.49	19.39	18.65	32.44
67.06	74.3	79.71	75.77	70.85	73.03	34.46	65.5	73.15	35.43	75.9	77.08	67.93	69.38	30.53	63.52	79.71	75.3	78.26	62.17	75.9	64.88	58.03	75.9
19.36	61.97	45.26	25.74	59.0	52.17	63.82	76.92	19.43	17.49	76.92	59.0	27.3	22.35	18.84	17.83	27.3	11.51	72.93	27.3	76.92	25.74	59.0	32.77
19.38	19.38	53.93	67.36	50.44	53.93	10.88	53.08	12.94	10.41	35.83	56.77	50.44	12.45	12.52	10.26	10.4	12.06	49.85	6.18	33.34	12.96	76.7	36.02
12.0	16.92	63.84	14.64	58.21	11.98	6.53	58.21	9.49	7.54	82.32	24.77	10.42	4.29	9.56	18.24	11.2	30.71	27.97	7.02	58.77	5.62	24.94	82.32
21.27	17.27	29.43	26.24	41.47	41.47	28.02	41.12	41.54	30.59	38.17	22.44	31.05	6.36	14.54	35.47	10.59	22.02	20.68	19.24	45.6	18.04	26.14	41.19
10.92	25.51	32.93	33.92	46.4	40.06	24.75	60.47	30.68	16.4	60.47	39.17	19.39	34.32	40.74	49.44	37.86	28.47	38.46	32.07	47.99	9.43	19.0	49.91
8.89	5.11	10.05	7.35	40.64	23.9	14.38	26.13	39.18	16.19	28.65	61.15	23.9	10.83	9.1	19.16	7.86	31.61	25.75	31.46	28.65	26.2	31.61	52.96
18.33	8.64	21.33	22.17	23.42	22.17	5.81	34.56	25.96	2.58	19.51	22.33	18.16	15.45	19.51	29.18	9.56	7.33	11.46	12.11	24.77	3.8	17.86	13.28
21.38	19.85	34.19	28.13	43.42	28.1	26.68	46.09	41.05	5.7	54.64	46.09	26.68	11.73	22.6	38.4	14.3	8.29	34.05	19.85	37.28	4.33	51.52	33.0
71.47	54.07	68.43	73.42	75.62	79.75	67.44	79.75	71.47	44.58	89.42	79.75	51.36	48.61	47.25	79.75	64.21	67.44	71.47	71.6	79.75	45.1	79.75	79.75
38.22	36.41	39.15	45.24	62.55	45.24	14.05	51.39	48.46	12.31	69.75	45.24	36.42	12.11	11.57	43.59	35.14	38.22	54.36	27.51	73.29	36.42	36.42	21.53
34.93	13.4	41.69	16.05	69.81	57.4	8.69	64.03	16.97	16.16	73.4	44.13	22.3	11.39	22.34	52.65	15.48	19.8	34.03	54.22	73.4	32.83	36.66	61.68
36.14	17.63	39.9	47.53	47.25	39.27	31.07	50.01	42.55	26.1	47.5	28.49	35.43	47.48	36.8	37.16	37.4	33.79	41.8	53.77	39.91	25.83	50.47	44.63
25.11	23.55	55.97	42.35	54.69	55.61	45.7	76.43	42.87	34.61	60.86	51.6	35.92	27.55	25.85	60.86	34.76	43.59	60.86	24.3	60.86	21.57	54.36	55.61
54.9	74.8	55.01	73.2	65.45	65.16	47.58	81.67	63.22	47.04	93.79	56.4	58.75	53.15	29.11	32.44	64.73	30.42	58.75	31.55	100.0	36.03	61.27	65.45
18.25	23.03	45.11	41.46	26.34	24.68	8.15	17.42	14.87	9.15	24.86	41.87	5.98	30.96	24.55	28.04	38.28	12.92	22.64	29.17	44.73	19.11	9.21	41.66
42.25	40.05	27.18	55.7	36.42	50.97	32.49	37.04	32.69	11.28	37.47	36.31	35.27	13.73	17.66	40.17	21.25	14.63	29.22	26.89	39.69	29.77	34.91	44.84
17.08	18.51	37.03	32.52	51.47	39.04	28.53	34.71	31.87	39.04	34.71	32.52	31.99	15.59	14.83	37.03	26.34	15.94	34.11	16.39	51.47	15.25	17.46	25.35
17.38	33.05	52.77	42.21	61.31	32.55	15.75	42.23	41.52	17.93	43.59	62.41	12.86	19.12	23.71	24.1	48.59	18.73	25.7	22.19	50.92	9.76	16.72	41.84
20.61	31.73	21.95	32.71	29.88	43.2	5.76	32.8	24.17	51.19	48.46	42.1	9.11	21.67	18.18	31.76	6.93	5.64	21.03	5.32	13.01	1.88	31.8	13.01
16.02	12.61	19.12	18.43	36.24	10.17	5.26	38.36	14.39	22.24	32.6	45.36	5.82	18.09	7.41	19.7	15.34	13.35	19.81	28.09	43.91	5.19	31.24	41.11
16.43	12.79	18.9	36.77	41.85	56.87	35.59	65.17	51.6	20.36	64.02	53.83	29.83	19.36	13.38	25.15	27.27	8.82	42.91	20.25	64.02	34.8	45.01	48.3
26.51	14.33	18.71	20.96	12.99	17.13	3.94	29.72	17.13	15.08	38.65	10.37	6.9	17.61	20.67	27.57	13.55	24.51	10.34	10.92	40.45	5.87	11.94	45.49
49.19	60.48	88.95	80.38	88.95	74.52	40.51	74.52	45.88	40.93	88.95	77.15	69.74	49.76	58.05	77.64	69.74	30.77	61.43	39.11	88.95	68.8	35.88	88.95
58.27	49.2	76.12	100.0	100.0	78.25	35.74	100.0	100.0	57.97	78.25	52.66	100.0	24.18	21.97	62.98	76.12	23.4	53.34	57.31	76.12	42.48	52.66	78.25
48.28	43.64	63.93	38.61	80.2	50.11	59.39	61.48	48.73	27.73	69.75	71.01	32.47	30.62	71.01	59.17	50.11	52.82	55.44	25.54	59.24	27.46	69.1	69.71
21.27	10.67	23.71	24.76	51.24	43.94	8.67	74.17	40.39	20.15	74.17	18.33	22.43	20.94	8.3	22.48	20.92	13.16	20.88	40.64	59.2	34.61	20.87	26.61
21.27	10.67	57.29	21.28	32.58	32.28	4.97	28.14	66.78	14.79	74.17	34.46	33.65	20.94	6.62	38.75	19.7	12.96	21.43	12.21	49.25	19.05	22.45	30.6
39.86	30.38	29.99	55.11	49.32	45.22	17.44	56.64	32.47	15.92	52.22	42.51	36.45	46.89	38.37	41.15	31.88	8.89	19.48	14.66	35.42	14.44	48.7	52.24
43.07	44.08	65.52	66.07	68.92	81.32	39.09	81.32	62.85	34.43	81.32	67.48	61.65	37.93	60.56	67.04	83.59	70.73	59.81	63.57	58.21	57.75	53.8	76.69
3.62	11.24	19.26	15.66	19.91	20.7	7.08	33.98	30.05	6.5	21.03	4.58	15.64	18.91	1.89	35.57	15.66	15.66	8.7	9.8	18.63	19.21	26.92	24.18
37.61	41.15	69.49	80.08	88.07	81.25	16.61	87.35	48.93	25.06	94.06	56.67	43.99	58.15	23.68	88.07	58.95	50.47	62.01	56.71	80.49	35.04	40.44	87.35
61.43	45.49	57.03	62.05	70.3	60.64	31.58	71.82	64.81	50.34	71.82	50.34	38.27	60.75	35.16	60.64	72.09	21.99	40.19	80.2	71.82	51.71	43.99	70.3
16.54	12.49	74.87	25.64	74.87	81.54	12.35	100.0	30.67	11.33	100.0	33.95	31.62	13.83	81.54	81.54	30.29	49.72	56.77	74.87	74.87	30.33	24.08	74.87
36.36	24.66	32.94	24.31	53.72	46.52	12.85	73.05	40.87	23.97	74.16	32.92	29.48	32.56	30.22	60.72	43.83	16.08	49.6	29.71	76.06	18.67	29.16	49.19
41.2	34.82	68.53	35.93	83.94	78.09	41.32	78.09	58.76	42.32	78.09	34.6	34.99	29.28	59.18	78.09	41.32	32.83	36.92	35.59	78.09	34.89	41.32	46.31
10.42	34.39	32.23	26.44	62.7	77.67	20.06	100.0	33.44	8.54	74.32	31.83	16.45	6.38	25.11	54.21	23.27	18.37	22.66	28.09	78.48	8.86	30.88	81.38
7.48	10.9	43.85	40.29	22.93	30.03	23.71	28.69	36.66	13.83	8.01	7.67	4.39	15.73	19.33	23.33	6.38	8.15	11.66	18.43	11.53	11.12	8.15	30.09
21.24	27.73	9.14	64.14	38.75	11.82	6.52	85.71	11.12	11.37	38.75	59.42	8.44	7.66	16.25	44.57	27.41	43.72	36.86	11.03	43.72	37.63	14.08	60.55
4.8	15.61	20.04	4.92	14.5	24.2	15.59	23.1	11.38	10.37	23.1	5.11	14.21	4.82	5.11	15.8	15.61	5.73	15.8	4.15	23.1	5.71	3.52	4.98
8.33	16.2	39.14	11.63	18.28	19.07	8.07	50.36	7.93	13.65	22.84	16.25	3.63	15.98	32.1	38.15	11.04	7.72	9.02	19.69	22.06	7.03	29.8	34.49
8.54	14.71	13.48	20.17	33.38	15.05	15.04	23.44	18.44	4.52	23.67	27.68	11.18	12.85	11.67	14.01	11.64	6.47	6.45	34.72	14.01	11.21	25.89	20.2
32.64	25.63	29.35	40.17	57.75	53.55	10.35	41.6	17.86	18.4	47.08	32.86	30.41	33.78	32.76	32.44	35.34	22.22	25.72	23.05	30.1	6.3	24.89	36.03
26.68	16.19	27.79	19.37	38.49	37.54	25.69	34.42	39.36	17.28	33.41	31.41	23.02	27.02	38.72	45.35	22.41	28.61	28.08	10.65	31.05	11.53	36.01	33.63
12.64	10.89	29.83	22.44	65.15	44.16	8.64	65.36	32.34	27.93	54.57	42.34	15.22	4.54	4.69	29.92	8.52	14.65	24.63	4.35	65.36	14.65	8.69	54.72
14.3	15.83	31.97	31.99	37.68	37.54	3.01	38.51	39.42	21.64	40.6	34.03	27.57	13.52	31.99	38.49	15.37	2.86	22.61	24.16	33.46	3.01	31.97	44.13
42.97	47.99	44.13	32.48	46.98	63.91	18.84	56.32	46.98	33.46	60.94	53.05	63.91	28.47	36.19	54.79	41.61	40.45	31.72	57.87	53.23	18.65	51.39	59.5
43.11	42.67	53.1	49.83	55.44	55.44	27.59	41.85	40.03	26.8	40.26	50.2	46.86	32.04	30.75	64.11	55.44	28.6	37.17	10.65	40.26	33.47	51.1	53.16
18.27	24.46	55.92	56.0	65.22	61.35	35.95	69.44	61.71	55.92	63.76	63.66	62.07	19.34	41.21	70.65	53.88	65.58	37.29	31.54	63.66	24.41	55.92	63.76
9.62	43.45	48.89	30.76	63.14	56.39	23.45	81.79	42.17	44.31	81.79	31.35	20.47	13.66	28.58	39.43	30.34	50.69	39.99	29.93	72.91	19.45	43.45	60.91
9.18	8.76	20.97	11.49	6.91	21.83	9.17	14.22	8.83	18.02	14.24	28.01	25.98	17.53	9.97	24.04	33.94	25.57	26.73	12.91	12.83	5.45	21.26	10.25
22.46	21.7	34.51	32.32	35.37	48.65	22.08	62.4	22.03	35.76	79.93	16.82	35.49	13.33	46.35	16.69	32.92	29.53	20.0	10.82	62.35	18.62	36.49	14.58
11.27	23.8	34.26	34.63	58.16	23.23	13.23	55.9	24.05	11.0	55.07	22.47	31.72	24.45	7.86	37.2	26.77	10.11	29.11	16.62	42.8	12.83	25.17	30.56
39.19	61.52	51.02	71.0	71.0	61.52	20.5	44.78	56.66	40.27	84.67	44.78	19.37	58.01	36.54	71.0	34.14	14.85	38.52	78.9	90.96	40.69	38.01	61.81
42.01	53.23	69.19	39.33	76.55	60.3	48.83	67.89	58.01	49.79	69.93	48.28	59.44	64.15	48.14	78.12	58.06	48.44	40.75	54.64	58.01	52.69	71.31	58.01
4.24	4.56	8.81	10.77	17.29	29.02	9.24	30.1	22.97	22.15	29.02	24.49	29.51	11.85	19.4	23.75	23.18	6.63	10.81	18.34	30.47	34.54	18.92	9.36
43.99	30.1	32.15	30.49	69.84	61.42	43.5	44.57	50.05	14.34	44.11	54.78	32.64	23.88	33.12	33.37	21.7	20.2	27.52	14.93	55.31	39.26	43.39	37.19
18.12	10.11	23.22	31.57	23.89	38.27	15.93	40.45	14.13	7.42	61.69	46.02	21.2	12.61	32.48	22.87	11.35	6.41	5.96	24.58	37.45	6.12	29.6	29.04
9.04	26.18	23.55	8.96	41.89	24.38	6.09	92.11	15.47	8.24	100.0	17.88	14.42	12.88	12.42	9.86	17.68	6.09	5.92	5.65	48.2	5.4	14.88	17.7
21.27	34.31	39.86	34.09	43.81	48.72	47.92	52.55	39.54	40.83	42.53	44.69	29.93	32.73	63.78	54.72	35.36	43.47	44.01	34.17	48.72	35.92	53.5	45.31
25.87	14.13	35.39	25.48	45.44	43.6	42.29	43.6	25.57	10.16	40.49	32.2	7.94	7.38	6.8	45.99	32.2	20.42	23.05	26.57	41.66	40.99	25.48	16.48
22.38	37.73	23.8	38.32	37.78	53.65	6.92	35.82	37.04	40.02	45.87	46.3	29.24	13.32	28.56	24.31	19.86	29.76	24.63	18.16	54.68	21.62	24.96	53.19
38.72	38.72	49.74	49.74	24.81	49.74	13.79	49.74	42.5	27.09	49.74	24.81	24.81	38.72	18.92	49.74	46.6	53.67	49.74	6.84	67.03	5.09	49.74	22.63
53.4	33.07	9.23	17.67	9.23	9.23	15.98	9.01	11.88	22.59	37.83	41.83	31.65	16.25	7.16	7.94	9.04	30.17	41.82	23.31	9.01	24.54	9.04	16.25
15.32	30.64	52.01	32.13	46.3	54.02	37.23	100.0	50.14	47.45	86.56	35.55	37.74	37.03	17.23	54.85	56.33	47.22	54.85	52.89	37.74	22.5	39.97	50.0
5.42	10.35	26.68	12.99	43.59	84.92	8.28	100.0	18.81	10.11	37.75	49.3	21.95	23.38	2.35	41.95	20.97	28.73	34.03	20.97	43.59	11.27	30.6	84.92
55.36	46.37	46.76	49.85	63.7	56.18	39.16	57.25	47.34	36.69	63.29	51.0	64.98	53.15	48.36	58.74	43.92	43.67	48.49	61.65	74.63	47.27	45.07	65.45
12.68	22.07	28.43	27.32	48.7	43.84	8.62	58.83	33.64	16.89	68.9	46.41	23.51	35.18	24.14	61.94	31.44	21.35	32.98	19.19	58.83	19.77	32.87	29.63
46.32	48.58	38.84	52.53	41.12	67.94	38.13	100.0	26.28	37.31	60.41	53.16	40.14	31.82	43.24	58.75	33.7	33.06	30.58	54.4	60.33	40.64	46.64	57.05
50.53	24.18	24.9	9.22	24.9	13.4	6.99	11.06	11.37	5.46	17.63	9.22	17.73	9.22	5.78	11.06	19.21	24.18	26.28	27.59	30.79	14.55	21.53	7.39
8.28	4.27	5.29	8.77	53.46	38.52	3.12	37.71	31.12	7.21	49.61	32.68	7.18	10.27	11.3	27.04	8.38	20.43	6.21	19.77	33.44	2.67	24.93	33.89
9.02	10.21	34.05	40.19	47.03	40.19	6.94	76.98	36.0	9.23	52.52	34.39	16.25	10.14	5.26	47.05	6.68	6.05	22.81	40.19	45.45	6.22	13.52	62.53
31.76	29.56	28.47	19.97	52.56	27.9	10.13	65.8	28.24	9.52	24.81	42.14	31.24	30.72	15.13	27.9	31.76	26.92	64.96	28.24	65.8	31.24	64.96	65.8
11.32	11.92	25.7	19.39	28.15	3.65	3.62	38.65	14.63	15.93	40.83	15.0	29.27	11.13	26.1	34.79	20.09	11.29	23.06	25.37	22.46	12.23	23.75	27.28
23.61	34.19	35.64	35.64	33.41	38.55	34.19	58.21	13.8	24.67	33.41	34.08	29.46	31.01	18.93	38.4	14.41	28.88	35.64	34.78	35.64	35.64	40.11	35.64
