N. TERMINE;ESEMPIO IT;TERMINI (CSV);TARGET HYPOTHESIS ;ALTRE OPZIONI STAA (CSV);TERMINI ALTRI ORDINAMENTI (CSV)
7.0;Se la prova della celebrazione del matrimonio risulta da sentenza penale, l'iscrizione della sentenza nel registro dello stato civile assicura al matrimonio, dal giorno della sua celebrazione, tutti gli effetti riguardo tanto ai coniugi quanto ai figli.;registro dello stato civile;Personenstandsregister;;Personenstandsbuch, Zivilstandsregister
7.0;Tutti i certificati e gli estratti dai registri dello stato civile vengono rilasciati in carta libera e senza spese.;registro dello stato civile;Personenstandsregister;;Personenstandsbuch, Zivilstandsregister
8.0;In particolare, deve essere comprovata con la relativa documentazione la presenza di figlie o figli minorenni della o del richiedente, che risiedono all’estero (certificato di stato di famiglia).;certificato di stato di famiglia;Familienstandsbescheinigung;Familienbogen;Familienschein
8.0;Il certificato di stato di famiglia deve rispecchiare la composizione familiare quale risulta dall'anagrafe all'atto del rilascio del certificato.;certificato di stato di famiglia;Familienstandsbescheinigung;Familienbogen;Familienschein
8.0;EBK si riserva di chiedere il certificato di stato di famiglia per effettuare controlli a campione e in caso di necessità di chiarimenti.;certificato di stato di famiglia;Familienstandsbescheinigung;Familienbogen;Familienschein
8.0;"L'ufficio anagrafe rilascia a chiunque ne faccia richiesta i seguenti certificati e attestati: certificato di residenza; certificato di stato di famiglia.";certificato di stato di famiglia;Familienstandsbescheinigung;Familienbogen;Familienschein
8.0;I certificati di Stato di Famiglia semplici e storici vengono reperiti presso gli Uffici Anagrafici dei Comuni italiani. ;certificato di stato di famiglia;Familienstandsbescheinigung;Familienbogen;Familienschein
9.0;Nel nome si comprendono il prenome e il cognome.;cognome;Zuname;Nachname;Familienname
9.0;L'adottato assume il cognome dell'adottante e lo antepone al proprio.;cognome;Zuname;Nachname;Familienname
9.0;L'atto deve indicare il cognome e il nome o la denominazione, il domicilio o la sede del sottoscrittore, il numero delle azioni sottoscritte e la data della sottoscrizione.;cognome;Zuname;Nachname;Familienname
9.0;La regola in tema di attribuzione del cognome prevederà che i figli assumano il cognome di entrambi i genitori, nell’ordine da essi concordato.;cognome;Zuname;Nachname;Familienname
9.0;Il giorno successivo alla sentenza, il Tribunale ha accolto il ricorso di una madre che voleva dare al figlio anche il proprio cognome, in aggiunta a quello del padre, nonostante quest’ultimo si opponesse.;cognome;Zuname;Nachname;Familienname
10.0;Qualora se ne allontani senza permesso, i genitori possono richiamarlo ricorrendo, se necessario, al giudice tutelare.;giudice tutelare;Vormundschaftsgericht;;Familiengericht, Betreuungsgericht, Pflegschaftsgericht
10.0;I capitali non possono essere riscossi senza autorizzazione del giudice tutelare, il quale ne determina l'impiego.;giudice tutelare;Vormundschaftsgericht;;Familiengericht, Betreuungsgericht, Pflegschaftsgericht
10.0;L'esercizio di una impresa commerciale non può essere continuato se non con l'autorizzazione del giudice tutelare.;giudice tutelare;Vormundschaftsgericht;;Familiengericht, Betreuungsgericht, Pflegschaftsgericht
10.0;Per poter richiedere la nomina di un amministratore di sostegno occorre presentare un ricorso al Giudice Tutelare del luogo di residenza (o domicilio) dell’interessato corredato della documentazione richiesta dalle disposizioni di legge.;giudice tutelare;Vormundschaftsgericht;;Familiengericht, Betreuungsgericht, Pflegschaftsgericht
