N. TERMINE;ESEMPIO IT;TERMINI (CSV);TARGET HYPOTHESIS ;ALTRE OPZIONI STAA (CSV);TERMINI ALTRI ORDINAMENTI (CSV);eurollm_9_terms;llama_8b_terms3
5.0;Le imprese di cui all’allegato A) “Elenco imprese” vengono cancellate d’ufficio dal Registro delle imprese ai sensi degli artt. 2 e 3 del D.P.R. 247/2004.;d'ufficio;von Amts wegen;;amtwswegig, ex offo, e. o., ex officio, v. a. W.;< der in Anhang A  âUnternehmenslisteâ genannt Unternehmen werden von Amts wegen aus der Unternehmensregister gemÃ¤Ã der Artikel 2 und 3 der D.P.R. 247  2004 streichen  >;der in Anhang A   Liste der Unternehmen  aufgefÃ¼hrt Unternehmen werden von Amt wegen gemÃ¤Ã der Artikel 2 und 3 der D.P.R. 247  2004 aus der Handelsregister gelÃ¶scht 
6.0;È imputabile chi ha la capacità di intendere e di volere.;capacità di intendere e di volere;Zurechnungsfähigkeit;Einsichts- und Willensfähigkeit ;Deliktsfähigkeit, Schuldfähigkeit, Entscheidungsfähigkeit, Einsichts- und Urteilsfähigkeit, Urteilsfähigkeit, Verschuldensfähigkeit;< ein Schuldiger sein jemand  der der FÃ¤higkeit haben  zu verstehen und zu wollen  >;wer ZurechnungsfÃ¤higkeit besitzen  sein verantwortlich 
6.0;La capacità di intendere e di volere viene presunta dalla legge con il compimento del diciottesimo anno di età.;capacità di intendere e di volere;Zurechnungsfähigkeit;Einsichts- und Willensfähigkeit ;Deliktsfähigkeit, Schuldfähigkeit, Entscheidungsfähigkeit, Einsichts- und Urteilsfähigkeit, Urteilsfähigkeit, Verschuldensfähigkeit;< der FÃ¤higkeit  zu verstehen und zu wollen  werden von Gesetz mit Vollendung der 18. Lebensjahr unterstellen  >;der ZurechnungsfÃ¤higkeit werden von Gesetz mit der Vollendung der 18. Lebensjahr vermuten 
6.0;La situazione di tossicodipendenza che influisce sulla capacità di intendere e di volere è solo quella che provoca alterazioni patologiche permanenti.;capacità di intendere e di volere;Zurechnungsfähigkeit;Einsichts- und Willensfähigkeit ;Deliktsfähigkeit, Schuldfähigkeit, Entscheidungsfähigkeit, Einsichts- und Urteilsfähigkeit, Urteilsfähigkeit, Verschuldensfähigkeit;< der Suchtlage  der der ZurechnungsfÃ¤higkeit beeintrÃ¤chtigen  sein nur diejeniger  der dauerhaft pathologisch VerÃ¤nderungen verursachen  >;der DrogenabhÃ¤ngigkeit  der der ZurechnungsfÃ¤higkeit beeinflussen  sein nur der  der dauerhaft pathologisch VerÃ¤nderungen verursachen 
6.0;La capacità di intendere e di volere disciplinata dal codice penale all'art. 85 c.p. può venire meno per ragioni di infermità (anche ma non solo) psichica.;capacità di intendere e di volere;Zurechnungsfähigkeit;Einsichts- und Willensfähigkeit ;Deliktsfähigkeit, Schuldfähigkeit, Entscheidungsfähigkeit, Einsichts- und Urteilsfähigkeit, Urteilsfähigkeit, Verschuldensfähigkeit;< der FÃ¤higkeit  zu verstehen und zu wollen  der in Strafgesetzbuch in Art . 85 StGB regeln sein  können aus GrÃ¼nden der  auch  aber nicht nur  psychisch Krankheit entfallen  >;der ZurechnungsfÃ¤higkeit  der von Strafgesetzbuch in Art . 85 C.p  regeln werden  können wegen psychisch GesundheitsstÃ¶runge  auch aber nicht nur  verlieren gehen 
6.0;La capacità di intendere e di volere infatti si può manifestare nelle tre forme di colpevolezza che sono il dolo, la colpa e la preterintenzione.;capacità di intendere e di volere;Zurechnungsfähigkeit;Einsichts- und Willensfähigkeit ;Deliktsfähigkeit, Schuldfähigkeit, Entscheidungsfähigkeit, Einsichts- und Urteilsfähigkeit, Urteilsfähigkeit, Verschuldensfähigkeit;< der FÃ¤higkeit  zu verstehen und zu wollen  können sich in der drei Schuldforme Vorsatz  FahrlÃ¤ssigkeit und Ãbervorsatz Ã¤uÃern  >;der ZurechnungsfÃ¤higkeit drÃ¼ckt sich nÃ¤mlich in der drei Form der Schuld aus  nÃ¤mlich in Vorsatz  der FahrlÃ¤ssigkeit und der vorherig Vorsatzlosigkeit 
7.0;I registri dello stato civile sono tenuti in ogni comune in conformità delle norme contenute nella legge sull'ordinamento dello stato civile.;registro dello stato civile;Personenstandsregister;;Personenstandsbuch, Zivilstandsregister;< der Personenstandsregister werden in jeder Gemeindeamt gemÃ¤Ã der Vorschrift der Personenstandsgesetz gefÃ¼hrt  >;der Personenstandsregister werden in jeder Gemeindeamt gemÃ¤Ã der Vorschrift der Personenstandsgesetz gefÃ¼hrt 
7.0;La filiazione si prova con l'atto di nascita iscritto nei registri dello stato civile.;registro dello stato civile;Personenstandsregister;;Personenstandsbuch, Zivilstandsregister;< der Vaterschaft werden durch der Geburtsurkunde in Personenstandsregister nachweisen  >;< der Abstammung werden durch der Geburtsurkunde nachweisen  der in Personenstandsregister eintragen sein  >
7.0;Il pubblico ufficiale che le riceve e l'ufficiale dello stato civile che le riproduce sui registri dello stato civile sono puniti con l'ammenda da euro 20 a euro 82.;registro dello stato civile;Personenstandsregister;;Personenstandsbuch, Zivilstandsregister;< der Beamter  der sie entgegennimmen  und der Zivilstandsbeamter  der sie in der Zivilstandsregister eintrÃ¤gt  werden mit ein Geldstrafe von 20 bis 82 Euro bestrafen  >;der Ã¶ffentlich bediensteter  der sie empfÃ¤ngt  und der Standesbeamte  der sie in Personenstandsregister eintrÃ¤gt  werden mit ein Geldstrafe von 20 bis 82 Euro belegen 
7.0;Se la prova della celebrazione del matrimonio risulta da sentenza penale, l'iscrizione della sentenza nel registro dello stato civile assicura al matrimonio, dal giorno della sua celebrazione, tutti gli effetti riguardo tanto ai coniugi quanto ai figli.;registro dello stato civile;Personenstandsregister;;Personenstandsbuch, Zivilstandsregister;< wenn der BeweisfÃ¼hrung der EheschlieÃung aus ein Strafentscheidung resultieren  sichern der Eintragung der Entscheidung in der Personenstandsregister der Ehe  ab der Tag ihr Feier  aller Wirkung sowohl fÃ¼r der Ehepartner als auch fÃ¼r der Kind  >;wenn der EheerklÃ¤rung durch ein Strafurteil nachweisen werden  sichern der Eintragung der Urteil in Personenstandsregister der Ehe  ab der Tag der EheschlieÃung  aller Recht sowohl fÃ¼r der Eheleut als auch fÃ¼r der Kind 
7.0;Tutti i certificati e gli estratti dai registri dello stato civile vengono rilasciati in carta libera e senza spese.;registro dello stato civile;Personenstandsregister;;Personenstandsbuch, Zivilstandsregister;< aller Urkunde und AuszÃ¼ge aus der Personenstandsregister werden kostenlos und unentgeltlich ausstellen  >;aller Zertifikat und AuszÃ¼ge aus der Personenstandsregister werden in frei Ausfertigung und kostenlos ausgeben 
8.0;In particolare, deve essere comprovata con la relativa documentazione la presenza di figlie o figli minorenni della o del richiedente, che risiedono all’estero (certificato di stato di famiglia).;certificato di stato di famiglia;Familienstandsbescheinigung;Familienbogen;Familienschein;< insbesondere muss der Anwesenheit von minderjÃ¤hrig TÃ¶chtern oder SÃ¶hnen der oder der Antragsteller  der in Ausland wohnen  durch der entsprechend Dokumentation nachweisen werden  Familienstandsbescheinigung   >;< insbesondere muss der Anwesenheit von minderjÃ¤hrig TÃ¶chtern oder SÃ¶hnen der oder der Antragsteller  der in Ausland wohnen  Familienstandsbescheinigung   durch der entsprechend Dokumentation nachweisen werden  >
8.0;Il certificato di stato di famiglia deve rispecchiare la composizione familiare quale risulta dall'anagrafe all'atto del rilascio del certificato.;certificato di stato di famiglia;Familienstandsbescheinigung;Familienbogen;Familienschein;< der Familienstandsbescheinigung muss der Familienzusammensetzung widerspiegeln  der in Einwohnermeldeamt zu Zeitpunkt der Ausstellung der Bescheinigung eintragen sein  >;der Familienstandsbescheinigung muss der familiÃ¤re Zusammensetzung widerspiegeln  wie sie sich aus der Einwohnermeldeamt-Register zu Zeitpunkt der Ausstellung der Bescheinigung ergeben 
8.0;EBK si riserva di chiedere il certificato di stato di famiglia per effettuare controlli a campione e in caso di necessità di chiarimenti.;certificato di stato di famiglia;Familienstandsbescheinigung;Familienbogen;Familienschein;< EBK behÃ¤lt sich vor  der Familienstandsbescheinigung anfordern  um Stichprobenkontrolle und bei Bedarf Klarstellung vornehmen  >;< EBK behÃ¤lt sich vor  der Familienstandszeugnis einholen  um Stichprobenkontrolle durchzufÃ¼hren und falls erforderlich Klarstellung vornehmen  >
8.0;"L'ufficio anagrafe rilascia a chiunque ne faccia richiesta i seguenti certificati e attestati: certificato di residenza; certificato di stato di famiglia.";certificato di stato di famiglia;Familienstandsbescheinigung;Familienbogen;Familienschein;< der einwohnermeldeamt stellen auf Antrag folgend Bescheinigung und Zeugnis aus  Wohnsitzbescheinigung  Familienstandsbescheinigung  >;< der Standesamt erteilen auf Antrag an jeder der folgend Ausweise und Bescheinigung  Ausweis der Wohnsitznahme  Familienstandsbescheinigung  >
8.0;I certificati di Stato di Famiglia semplici e storici vengono reperiti presso gli Uffici Anagrafici dei Comuni italiani. ;certificato di stato di famiglia;Familienstandsbescheinigung;Familienbogen;Familienschein;< einfach und historisch Familienstandsbescheinigunge werden bei der EinwohnermeldeÃ¤mter der italienisch Gemeinde abgerufen  >;ich erhalt Familienstandsbescheinigung einfach und historisch bei der italienisch Gemeindeamt 
9.0;Nel nome si comprendono il prenome e il cognome.;cognome;Zuname;Nachname;Familienname;< in Name sein der Vorname und der Nachname enthalten  >;< in Name sein der Vorname und der Zuname enthalten  >
9.0;L'adottato assume il cognome dell'adottante e lo antepone al proprio.;cognome;Zuname;Nachname;Familienname;< der Adoptierte nehmen der Familiennamen der Adoptierenden an und fÃ¼hrt ihn vor sein eigen  >;der Adoptierte nehmen der Zuname der Adoptant an und setzen ihn vor sein eigen 
9.0;L'atto deve indicare il cognome e il nome o la denominazione, il domicilio o la sede del sottoscrittore, il numero delle azioni sottoscritte e la data della sottoscrizione.;cognome;Zuname;Nachname;Familienname;< der Urkunde muss der Familienname und der Vorname oder der Firma  der Wohnsitz oder Sitz der Unterzeichner  der Anzahl der unterzeichnet Aktie und der Datum der Unterzeichnung angeben  >;< der Akt muss der Nachname und der Vorname oder der Firma  der Wohnung oder der Sitz der Unterzeichner  der Anzahl der unterzeichnet Aktie und der Datum der Unterzeichnung angeben  >
9.0;La regola in tema di attribuzione del cognome prevederà che i figli assumano il cognome di entrambi i genitori, nell’ordine da essi concordato.;cognome;Zuname;Nachname;Familienname;< der Regelung zu Namensvergabe sehen vor  dass der Kind der Familienname beide Eltern in der von ihnen vereinbart Reihenfolge annehmen  >;der Regel zu Zunamezuweisung werden vorsehen  dass der Kind der Zuname beide Eltern in der von ihnen vereinbart Reihenfolge annehmen 
9.0;Il giorno successivo alla sentenza, il Tribunale ha accolto il ricorso di una madre che voleva dare al figlio anche il proprio cognome, in aggiunta a quello del padre, nonostante quest’ultimo si opponesse.;cognome;Zuname;Nachname;Familienname;< an Tag nach der Urteil haben der Gericht der Klage ein Mutter zulassen  der ihr Sohn auch ihr eigen Nachname geben wollen  zusÃ¤tzlich zu der der Vater  obwohl dieser sich dagegen aussprechen haben  >;an Tag nach der UrteilsverkÃ¼ndung haben der Gericht der Antrag ein Mutter annehmen  ihr Sohn auch ihr Zunam zu geben  zusÃ¤tzlich zu Zunam der Vater  obwohl dieser sich dagegen wehren haben 
10.0;Qualora se ne allontani senza permesso, i genitori possono richiamarlo ricorrendo, se necessario, al giudice tutelare.;giudice tutelare;Vormundschaftsgericht;;Familiengericht, Betreuungsgericht, Pflegschaftsgericht;< wenn es sich ohne Erlaubnis entfernen  kÃ¶nn der Eltern es zurÃ¼ckrufen  indem sie  falls nÃ¶tig  der Vormundschaftsgericht einschalten  >;< wenn er ohne Erlaubnis wegfÃ¤hren  kÃ¶n der Eltern ihn zurÃ¼ckrufen  wobei sie  wenn nÃ¶tig  an der Vormundschaftsgericht wenden mÃ¼ssen  >
10.0;I capitali non possono essere riscossi senza autorizzazione del giudice tutelare, il quale ne determina l'impiego.;giudice tutelare;Vormundschaftsgericht;;Familiengericht, Betreuungsgericht, Pflegschaftsgericht;< Kapitalie kÃ¶nn ohne Genehmigung der Vormundschaftsgericht nicht auszahlen werden  der der Verwendung bestimmen  >;< Kapital dÃ¼rfen nicht ohne Zustimmung der Vormundschaftsgericht einziehen werden  welcher der Verwendung bestimmen  >
10.0;L'esercizio di una impresa commerciale non può essere continuato se non con l'autorizzazione del giudice tutelare.;giudice tutelare;Vormundschaftsgericht;;Familiengericht, Betreuungsgericht, Pflegschaftsgericht;< der AusÃ¼bung ein Handelsgewerbe können nur mit der Genehmigung der Vormundschaftsgericht fortsetzen werden  >;< der Betrieb ein Handelsgesellschaft dürfen nur mit Genehmigung der Vormundschaftsgericht fortsetzen werden  >
10.0;Per poter richiedere la nomina di un amministratore di sostegno occorre presentare un ricorso al Giudice Tutelare del luogo di residenza (o domicilio) dell’interessato corredato della documentazione richiesta dalle disposizioni di legge.;giudice tutelare;Vormundschaftsgericht;;Familiengericht, Betreuungsgericht, Pflegschaftsgericht;< um der Ernennung ein Betreuer zu beantragen  muss ein Antrag bei Vormundschaftsgericht der Wohnort  oder Wohnsitz  der betroffen Person einreichen werden  zusammen mit der von der gesetzlich Bestimmung gefordert Unterlage  >;um ein Betreuer zu beantragen  sein ein Rechtsmittel bei Vormundschaftsgericht der Wohnsitz  oder der Wohnung  der betroffener einreichen  der mit der von Gesetz gefordert Unterlage versehen sein Muss 
